framework,framework_version,architecture,observable,n,k,depth,n_params,n_param_sets,n_grad_components,var_pooled,seed,wall_time_s,timestamp
qiskit-statevector,2.5.2,brickwall,pauli_z_first_k,8,2,1,8,20,160,5.70750940e-02,42082231,0.355,2026-08-23T05:08:01.369083+00:00
qiskit-statevector,2.5.2,brickwall,pauli_z_first_k,8,2,2,16,20,320,4.77406978e-02,42082262,1.154,2026-08-23T05:08:02.526053+00:00
qiskit-statevector,2.5.2,brickwall,pauli_z_first_k,8,2,3,24,20,480,4.55128432e-02,42082293,3.233,2026-08-23T05:08:05.763603+00:00
qiskit-statevector,2.5.2,brickwall,pauli_z_first_k,8,2,4,32,20,640,4.66517002e-02,42082324,4.135,2026-08-23T05:08:09.902146+00:00
qiskit-statevector,2.5.2,brickwall,pauli_z_first_k,8,2,5,40,20,800,2.87418142e-02,42082355,5.418,2026-08-23T05:08:15.323543+00:00
qiskit-statevector,2.5.2,brickwall,pauli_z_first_k,8,2,6,48,20,960,3.04431767e-02,42082386,9.587,2026-08-23T05:08:24.913595+00:00
qiskit-statevector,2.5.2,brickwall,pauli_z_first_k,8,2,7,56,20,1120,3.07806638e-02,42082417,11.840,2026-08-23T05:08:36.757030+00:00
qiskit-statevector,2.5.2,brickwall,pauli_z_first_k,8,2,8,64,20,1280,2.75258262e-02,42082448,15.134,2026-08-23T05:08:51.894416+00:00
qiskit-statevector,2.5.2,brickwall,pauli_z_first_k,8,2,9,72,20,1440,2.47697669e-02,42082479,20.671,2026-08-23T05:09:12.571585+00:00
qiskit-statevector,2.5.2,brickwall,pauli_z_first_k,8,2,10,80,20,1600,2.27917699e-02,42082510,23.434,2026-08-23T05:09:36.009464+00:00
qiskit-statevector,2.5.2,brickwall,pauli_z_first_k,8,2,11,88,20,1760,1.59242456e-02,42082541,27.693,2026-08-23T05:10:03.705265+00:00
qiskit-statevector,2.5.2,brickwall,pauli_z_first_k,8,2,12,96,20,1920,2.47897946e-02,42082572,34.234,2026-08-23T05:10:37.942938+00:00
qiskit-statevector,2.5.2,brickwall,pauli_z_first_k,8,2,13,104,20,2080,1.71705637e-02,42082603,38.592,2026-08-23T05:11:16.537926+00:00
qiskit-statevector,2.5.2,brickwall,pauli_z_first_k,8,2,14,112,20,2240,2.11710206e-02,42082634,45.083,2026-08-23T05:12:01.624808+00:00
qiskit-statevector,2.5.2,brickwall,pauli_z_first_k,8,2,15,120,20,2400,1.45202134e-02,42082665,51.185,2026-08-23T05:12:52.813095+00:00
qiskit-statevector,2.5.2,brickwall,pauli_z_first_k,8,2,16,128,20,2560,1.42455219e-02,42082696,58.044,2026-08-23T05:13:50.859944+00:00
qiskit-statevector,2.5.2,brickwall,pauli_z_first_k,8,2,17,136,20,2720,1.12540036e-02,42082727,66.625,2026-08-23T05:14:57.488813+00:00
qiskit-statevector,2.5.2,brickwall,pauli_z_first_k,8,2,18,144,20,2880,1.18789404e-02,42082758,72.496,2026-08-23T05:16:09.988607+00:00
qiskit-statevector,2.5.2,brickwall,pauli_z_first_k,8,2,19,152,20,3040,8.91464200e-03,42082789,82.694,2026-08-23T05:17:32.686024+00:00
qiskit-statevector,2.5.2,brickwall,pauli_z_first_k,8,2,20,160,20,3200,1.14514164e-02,42082820,90.008,2026-08-23T05:19:02.702615+00:00
qiskit-statevector,2.5.2,brickwall,pauli_z_first_k,8,2,21,168,20,3360,7.57240840e-03,42082851,98.238,2026-08-23T05:20:40.943987+00:00
qiskit-statevector,2.5.2,brickwall,pauli_z_first_k,8,2,22,176,20,3520,9.64559787e-03,42082882,108.472,2026-08-23T05:22:29.420437+00:00
qiskit-statevector,2.5.2,brickwall,pauli_z_first_k,8,2,23,184,20,3680,8.13723960e-03,42082913,119.007,2026-08-23T05:24:28.431779+00:00
qiskit-statevector,2.5.2,brickwall,pauli_z_first_k,8,2,24,192,20,3840,8.06028337e-03,42082944,130.030,2026-08-23T05:26:38.465582+00:00
qiskit-statevector,2.5.2,brickwall,pauli_z_first_k,8,2,25,200,20,4000,6.89323482e-03,42082975,139.041,2026-08-23T05:28:57.510147+00:00
qiskit-statevector,2.5.2,brickwall,pauli_z_first_k,8,2,26,208,20,4160,6.87317829e-03,42083006,150.474,2026-08-23T05:31:27.987747+00:00
qiskit-statevector,2.5.2,brickwall,pauli_z_first_k,8,2,27,216,20,4320,5.97254556e-03,42083037,160.335,2026-08-23T05:34:08.326593+00:00
qiskit-statevector,2.5.2,brickwall,pauli_z_first_k,8,2,28,224,20,4480,6.59695871e-03,42083068,175.649,2026-08-23T05:37:03.978915+00:00
qiskit-statevector,2.5.2,brickwall,pauli_z_first_k,8,2,29,232,20,4640,5.03203232e-03,42083099,186.879,2026-08-23T05:40:10.861998+00:00
qiskit-statevector,2.5.2,brickwall,pauli_z_first_k,8,2,30,240,20,4800,5.06066228e-03,42083130,200.751,2026-08-23T05:43:31.617479+00:00
qiskit-statevector,2.5.2,brickwall,pauli_z_first_k,8,3,1,8,20,160,6.09266357e-02,42083240,0.460,2026-08-23T05:43:32.082055+00:00
qiskit-statevector,2.5.2,brickwall,pauli_z_first_k,8,3,2,16,20,320,3.98071911e-02,42083271,1.431,2026-08-23T05:43:33.516074+00:00
qiskit-statevector,2.5.2,brickwall,pauli_z_first_k,8,3,3,24,20,480,4.80209913e-02,42083302,2.087,2026-08-23T05:43:35.614498+00:00
qiskit-statevector,2.5.2,brickwall,pauli_z_first_k,8,3,4,32,20,640,3.11159590e-02,42083333,3.544,2026-08-23T05:43:39.162387+00:00
qiskit-statevector,2.5.2,brickwall,pauli_z_first_k,8,3,5,40,20,800,3.40773445e-02,42083364,6.035,2026-08-23T05:43:45.201081+00:00
qiskit-statevector,2.5.2,brickwall,pauli_z_first_k,8,3,6,48,20,960,2.77605518e-02,42083395,8.661,2026-08-23T05:43:53.865444+00:00
qiskit-statevector,2.5.2,brickwall,pauli_z_first_k,8,3,7,56,20,1120,2.56376014e-02,42083426,12.051,2026-08-23T05:44:05.920774+00:00
qiskit-statevector,2.5.2,brickwall,pauli_z_first_k,8,3,8,64,20,1280,1.78958051e-02,42083457,15.043,2026-08-23T05:44:20.967652+00:00
qiskit-statevector,2.5.2,brickwall,pauli_z_first_k,8,3,9,72,20,1440,2.10636210e-02,42083488,18.446,2026-08-23T05:44:39.418446+00:00
qiskit-statevector,2.5.2,brickwall,pauli_z_first_k,8,3,10,80,20,1600,1.48535941e-02,42083519,23.638,2026-08-23T05:45:03.059674+00:00
qiskit-statevector,2.5.2,brickwall,pauli_z_first_k,8,3,11,88,20,1760,1.59699589e-02,42083550,26.938,2026-08-23T05:45:30.000992+00:00
qiskit-statevector,2.5.2,brickwall,pauli_z_first_k,8,3,12,96,20,1920,1.17977712e-02,42083581,33.813,2026-08-23T05:46:03.817556+00:00
qiskit-statevector,2.5.2,brickwall,pauli_z_first_k,8,3,13,104,20,2080,1.50308292e-02,42083612,37.999,2026-08-23T05:46:41.819974+00:00
qiskit-statevector,2.5.2,brickwall,pauli_z_first_k,8,3,14,112,20,2240,1.27387968e-02,42083643,44.527,2026-08-23T05:47:26.350402+00:00
qiskit-statevector,2.5.2,brickwall,pauli_z_first_k,8,3,15,120,20,2400,1.29087799e-02,42083674,50.700,2026-08-23T05:48:17.054118+00:00
qiskit-statevector,2.5.2,brickwall,pauli_z_first_k,8,3,16,128,20,2560,8.01824890e-03,42083705,57.587,2026-08-23T05:49:14.644241+00:00
qiskit-statevector,2.5.2,brickwall,pauli_z_first_k,8,3,17,136,20,2720,1.01573305e-02,42083736,65.518,2026-08-23T05:50:20.171934+00:00
qiskit-statevector,2.5.2,brickwall,pauli_z_first_k,8,3,18,144,20,2880,8.28970073e-03,42083767,71.754,2026-08-23T05:51:31.937176+00:00
qiskit-statevector,2.5.2,brickwall,pauli_z_first_k,8,3,19,152,20,3040,8.48440987e-03,42083798,81.911,2026-08-23T05:52:53.852502+00:00
qiskit-statevector,2.5.2,brickwall,pauli_z_first_k,8,3,20,160,20,3200,8.94868425e-03,42083829,89.039,2026-08-23T05:54:22.895469+00:00
qiskit-statevector,2.5.2,brickwall,pauli_z_first_k,8,3,21,168,20,3360,8.34423167e-03,42083860,98.015,2026-08-23T05:56:00.913936+00:00
qiskit-statevector,2.5.2,brickwall,pauli_z_first_k,8,3,22,176,20,3520,7.50808354e-03,42083891,107.472,2026-08-23T05:57:48.390488+00:00
qiskit-statevector,2.5.2,brickwall,pauli_z_first_k,8,3,23,184,20,3680,6.30172448e-03,42083922,118.296,2026-08-23T05:59:46.691039+00:00
qiskit-statevector,2.5.2,brickwall,pauli_z_first_k,8,3,24,192,20,3840,6.10893113e-03,42083953,128.632,2026-08-23T06:01:55.327323+00:00
qiskit-statevector,2.5.2,brickwall,pauli_z_first_k,8,3,25,200,20,4000,6.50283926e-03,42083984,138.942,2026-08-23T06:04:14.273048+00:00
qiskit-statevector,2.5.2,brickwall,pauli_z_first_k,8,3,26,208,20,4160,4.88661194e-03,42084015,150.360,2026-08-23T06:06:44.637513+00:00
qiskit-statevector,2.5.2,brickwall,pauli_z_first_k,8,3,27,216,20,4320,5.21278680e-03,42084046,161.088,2026-08-23T06:09:25.729375+00:00
qiskit-statevector,2.5.2,brickwall,pauli_z_first_k,8,3,28,224,20,4480,5.34191189e-03,42084077,174.705,2026-08-23T06:12:20.438148+00:00
qiskit-statevector,2.5.2,brickwall,pauli_z_first_k,8,3,29,232,20,4640,5.92769344e-03,42084108,194.375,2026-08-23T06:15:34.816682+00:00
qiskit-statevector,2.5.2,brickwall,pauli_z_first_k,8,3,30,240,20,4800,4.67095895e-03,42084139,198.962,2026-08-23T06:18:53.783414+00:00
qiskit-statevector,2.5.2,brickwall,pauli_z_first_k,8,4,1,8,20,160,5.79067092e-02,42084249,0.309,2026-08-23T06:18:54.097227+00:00
qiskit-statevector,2.5.2,brickwall,pauli_z_first_k,8,4,2,16,20,320,4.27447906e-02,42084280,0.997,2026-08-23T06:18:55.097898+00:00
qiskit-statevector,2.5.2,brickwall,pauli_z_first_k,8,4,3,24,20,480,2.51637116e-02,42084311,2.092,2026-08-23T06:18:57.193737+00:00
qiskit-statevector,2.5.2,brickwall,pauli_z_first_k,8,4,4,32,20,640,2.60636612e-02,42084342,3.533,2026-08-23T06:19:00.730090+00:00
qiskit-statevector,2.5.2,brickwall,pauli_z_first_k,8,4,5,40,20,800,2.24364404e-02,42084373,7.232,2026-08-23T06:19:07.965879+00:00
