framework,framework_version,architecture,observable,n,k,depth,n_params,n_param_sets,n_grad_components,var_pooled,var_stderr,mean_abs_grad,seed,wall_time_s,timestamp
pennylane-lightning.qubit,0.45.1,brickwall,pauli_z_first_k,8,2,1,8,50,400,5.83722559e-02,6.36157720e-03,7.66359547e-02,42082231,0.184,2026-08-22T13:10:29.970515+00:00
pennylane-lightning.qubit,0.45.1,brickwall,pauli_z_first_k,8,2,2,16,50,800,6.41518792e-02,4.26250167e-03,1.06416560e-01,42082262,0.240,2026-08-22T13:10:30.215404+00:00
pennylane-lightning.qubit,0.45.1,brickwall,pauli_z_first_k,8,2,3,24,50,1200,4.67096628e-02,4.27913925e-03,8.34568975e-02,42082293,0.334,2026-08-22T13:10:30.553075+00:00
pennylane-lightning.qubit,0.45.1,brickwall,pauli_z_first_k,8,2,4,32,50,1600,4.35081954e-02,2.92234394e-03,9.33164018e-02,42082324,0.380,2026-08-22T13:10:30.937803+00:00
pennylane-lightning.qubit,0.45.1,brickwall,pauli_z_first_k,8,2,5,40,50,2000,3.60214436e-02,2.28480958e-03,8.86821111e-02,42082355,0.443,2026-08-22T13:10:31.384679+00:00
pennylane-lightning.qubit,0.45.1,brickwall,pauli_z_first_k,8,2,6,48,50,2400,3.69665977e-02,2.60530147e-03,9.10963411e-02,42082386,0.529,2026-08-22T13:10:31.917884+00:00
pennylane-lightning.qubit,0.45.1,brickwall,pauli_z_first_k,8,2,7,56,50,2800,3.18805298e-02,1.88586448e-03,8.74795654e-02,42082417,0.587,2026-08-22T13:10:32.509266+00:00
pennylane-lightning.qubit,0.45.1,brickwall,pauli_z_first_k,8,2,8,64,50,3200,3.03222736e-02,1.75004146e-03,8.90786507e-02,42082448,1.816,2026-08-22T13:10:34.329164+00:00
pennylane-lightning.qubit,0.45.1,brickwall,pauli_z_first_k,8,2,9,72,50,3600,2.39689733e-02,1.44290813e-03,8.34176926e-02,42082479,2.781,2026-08-22T13:10:37.116320+00:00
pennylane-lightning.qubit,0.45.1,brickwall,pauli_z_first_k,8,2,10,80,50,4000,2.75283192e-02,1.50135514e-03,8.72479146e-02,42082510,0.974,2026-08-22T13:10:38.100550+00:00
pennylane-lightning.qubit,0.45.1,brickwall,pauli_z_first_k,8,2,11,88,50,4400,1.85766546e-02,1.01836467e-03,7.60213192e-02,42082541,1.027,2026-08-22T13:10:39.133290+00:00
pennylane-lightning.qubit,0.45.1,brickwall,pauli_z_first_k,8,2,12,96,50,4800,2.36933642e-02,1.08099757e-03,8.54654382e-02,42082572,0.851,2026-08-22T13:10:39.988624+00:00
pennylane-lightning.qubit,0.45.1,brickwall,pauli_z_first_k,8,2,13,104,50,5200,1.80311269e-02,9.25134402e-04,7.83779479e-02,42082603,0.931,2026-08-22T13:10:40.925327+00:00
pennylane-lightning.qubit,0.45.1,brickwall,pauli_z_first_k,8,2,14,112,50,5600,1.92319567e-02,1.28194896e-03,7.87029885e-02,42082634,1.016,2026-08-22T13:10:41.945562+00:00
pennylane-lightning.qubit,0.45.1,brickwall,pauli_z_first_k,8,2,15,120,50,6000,1.39057958e-02,7.98122698e-04,7.14247692e-02,42082665,1.022,2026-08-22T13:10:42.971922+00:00
pennylane-lightning.qubit,0.45.1,brickwall,pauli_z_first_k,8,2,16,128,50,6400,1.53852884e-02,7.13082910e-04,7.35594633e-02,42082696,1.369,2026-08-22T13:10:44.345488+00:00
pennylane-lightning.qubit,0.45.1,brickwall,pauli_z_first_k,8,2,17,136,50,6800,1.20741605e-02,7.02433806e-04,6.79438343e-02,42082727,1.166,2026-08-22T13:10:45.516807+00:00
pennylane-lightning.qubit,0.45.1,brickwall,pauli_z_first_k,8,2,18,144,50,7200,1.38677670e-02,7.98685591e-04,7.04397951e-02,42082758,1.950,2026-08-22T13:10:47.471020+00:00
pennylane-lightning.qubit,0.45.1,brickwall,pauli_z_first_k,8,2,19,152,50,7600,9.32385837e-03,4.14226177e-04,6.20157035e-02,42082789,2.006,2026-08-22T13:10:49.482442+00:00
pennylane-lightning.qubit,0.45.1,brickwall,pauli_z_first_k,8,2,20,160,50,8000,1.00528048e-02,5.67787750e-04,6.29214331e-02,42082820,1.546,2026-08-22T13:10:51.032656+00:00
pennylane-lightning.qubit,0.45.1,brickwall,pauli_z_first_k,8,2,21,168,50,8400,8.90983693e-03,4.50140059e-04,6.20914098e-02,42082851,1.434,2026-08-22T13:10:52.471360+00:00
pennylane-lightning.qubit,0.45.1,brickwall,pauli_z_first_k,8,2,22,176,50,8800,1.00936670e-02,6.49148617e-04,6.32348949e-02,42082882,1.673,2026-08-22T13:10:54.148713+00:00
pennylane-lightning.qubit,0.45.1,brickwall,pauli_z_first_k,8,2,23,184,50,9200,7.58946785e-03,3.62887406e-04,5.85291771e-02,42082913,1.750,2026-08-22T13:10:55.904718+00:00
pennylane-lightning.qubit,0.45.1,brickwall,pauli_z_first_k,8,2,24,192,50,9600,7.62496276e-03,3.72153829e-04,5.77883390e-02,42082944,1.784,2026-08-22T13:10:57.694468+00:00
pennylane-lightning.qubit,0.45.1,brickwall,pauli_z_first_k,8,2,25,200,50,10000,6.51638798e-03,2.65510395e-04,5.58738251e-02,42082975,2.082,2026-08-22T13:10:59.781054+00:00
pennylane-lightning.qubit,0.45.1,brickwall,pauli_z_first_k,8,2,26,208,50,10400,6.77194506e-03,3.08216763e-04,5.51685285e-02,42083006,2.939,2026-08-22T13:11:02.723989+00:00
pennylane-lightning.qubit,0.45.1,brickwall,pauli_z_first_k,8,2,27,216,50,10800,6.26208472e-03,3.07462820e-04,5.47885581e-02,42083037,1.936,2026-08-22T13:11:04.664387+00:00
pennylane-lightning.qubit,0.45.1,brickwall,pauli_z_first_k,8,2,28,224,50,11200,6.56176427e-03,3.26351060e-04,5.57064315e-02,42083068,2.025,2026-08-22T13:11:06.694531+00:00
pennylane-lightning.qubit,0.45.1,brickwall,pauli_z_first_k,8,2,29,232,50,11600,5.02444720e-03,1.47824123e-04,5.00703284e-02,42083099,2.040,2026-08-22T13:11:08.738290+00:00
pennylane-lightning.qubit,0.45.1,brickwall,pauli_z_first_k,8,2,30,240,50,12000,5.69351186e-03,1.82747905e-04,5.25550184e-02,42083130,2.125,2026-08-22T13:11:10.868489+00:00
pennylane-lightning.qubit,0.45.1,brickwall,pauli_z_first_k,8,3,1,8,50,400,6.78195717e-02,4.20162832e-03,1.03781552e-01,42083240,0.197,2026-08-22T13:11:11.072034+00:00
pennylane-lightning.qubit,0.45.1,brickwall,pauli_z_first_k,8,3,2,16,50,800,4.22933710e-02,3.48637298e-03,8.95221996e-02,42083271,0.270,2026-08-22T13:11:11.346033+00:00
pennylane-lightning.qubit,0.45.1,brickwall,pauli_z_first_k,8,3,3,24,50,1200,4.70647127e-02,2.78535165e-03,9.34841647e-02,42083302,0.323,2026-08-22T13:11:11.673775+00:00
pennylane-lightning.qubit,0.45.1,brickwall,pauli_z_first_k,8,3,4,32,50,1600,3.40903457e-02,1.90552158e-03,9.64122593e-02,42083333,0.386,2026-08-22T13:11:12.063917+00:00
pennylane-lightning.qubit,0.45.1,brickwall,pauli_z_first_k,8,3,5,40,50,2000,2.94162754e-02,1.94367005e-03,8.34533259e-02,42083364,0.482,2026-08-22T13:11:12.550607+00:00
