framework,framework_version,simulator,architecture,observable,n,k,depth,n_params,n_param_sets,n_grad_components,var_pooled,threshold,configuration_seed,tau_BP,censored
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_1,8,2,1,8,50,400,0.06170274548840429,0.01,3373383951,19,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_1,8,2,2,16,50,800,0.06053968855827371,0.01,3373383951,19,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_1,8,2,3,24,50,1200,0.04208814329175076,0.01,3373383951,19,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_1,8,2,4,32,50,1600,0.044595833878945265,0.01,3373383951,19,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_1,8,2,5,40,50,2000,0.03596480250801814,0.01,3373383951,19,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_1,8,2,6,48,50,2400,0.03514207409998461,0.01,3373383951,19,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_1,8,2,7,56,50,2800,0.030364081959433707,0.01,3373383951,19,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_1,8,2,8,64,50,3200,0.027076199513815066,0.01,3373383951,19,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_1,8,2,9,72,50,3600,0.024673432458893158,0.01,3373383951,19,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_1,8,2,10,80,50,4000,0.028132813386337416,0.01,3373383951,19,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_1,8,2,11,88,50,4400,0.019063381781850935,0.01,3373383951,19,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_1,8,2,12,96,50,4800,0.02024359913016178,0.01,3373383951,19,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_1,8,2,13,104,50,5200,0.01769881681222361,0.01,3373383951,19,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_1,8,2,14,112,50,5600,0.018398975457997964,0.01,3373383951,19,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_1,8,2,15,120,50,6000,0.01348746422407339,0.01,3373383951,19,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_1,8,2,16,128,50,6400,0.015218239825151554,0.01,3373383951,19,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_1,8,2,17,136,50,6800,0.01200109038424487,0.01,3373383951,19,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_1,8,2,18,144,50,7200,0.012334236049245776,0.01,3373383951,19,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_1,8,2,19,152,50,7600,0.009734669361513716,0.01,3373383951,19,False
PennyLane,0.44.1,lightning.qubit,brickwall,Z_0...Z_1,8,2,20,160,50,8000,0.010903706406881689,0.01,3373383951,19,False
