architecture,n,k,nk,tau_BP,censored
all_to_all,8,2,16,4,False
all_to_all,8,3,24,4,False
all_to_all,8,4,32,4,False
all_to_all,8,5,40,3,False
all_to_all,8,6,48,2,False
all_to_all,8,8,64,6,False
all_to_all,10,2,20,5,False
all_to_all,10,3,30,5,False
all_to_all,10,4,40,4,False
all_to_all,10,5,50,4,False
all_to_all,10,6,60,3,False
all_to_all,10,8,80,2,False
all_to_all,10,10,100,2,False
all_to_all,12,2,24,4,False
all_to_all,12,3,36,3,False
all_to_all,12,4,48,2,False
all_to_all,12,5,60,1,False
all_to_all,12,6,72,4,False
all_to_all,12,8,96,3,False
all_to_all,12,10,120,2,False
all_to_all,12,12,144,1,False
all_to_all,14,2,28,4,False
all_to_all,14,3,42,3,False
all_to_all,14,4,56,2,False
all_to_all,14,5,70,1,False
all_to_all,14,6,84,1,False
all_to_all,14,8,112,1,False
all_to_all,14,10,140,1,False
all_to_all,14,12,168,1,False
all_to_all,14,14,196,1,False
brickwall_1d,8,2,16,21,False
brickwall_1d,8,3,24,18,False
brickwall_1d,8,4,32,15,False
brickwall_1d,8,5,40,8,False
brickwall_1d,8,6,48,5,False
brickwall_1d,8,8,64,4,False
brickwall_1d,10,2,20,17,False
brickwall_1d,10,3,30,14,False
brickwall_1d,10,4,40,9,False
brickwall_1d,10,5,50,4,False
brickwall_1d,10,6,60,5,False
brickwall_1d,10,8,80,2,False
brickwall_1d,10,10,100,2,False
brickwall_1d,12,2,24,15,False
brickwall_1d,12,3,36,12,False
brickwall_1d,12,4,48,9,False
brickwall_1d,12,5,60,6,False
brickwall_1d,12,6,72,3,False
brickwall_1d,12,8,96,2,False
brickwall_1d,12,10,120,2,False
brickwall_1d,12,12,144,1,False
brickwall_1d,14,2,28,13,False
brickwall_1d,14,3,42,10,False
brickwall_1d,14,4,56,7,False
brickwall_1d,14,5,70,4,False
brickwall_1d,14,6,84,3,False
brickwall_1d,14,8,112,2,False
brickwall_1d,14,10,140,2,False
brickwall_1d,14,12,168,1,False
brickwall_1d,14,14,196,1,False
grid_2d,8,2,16,10,False
grid_2d,8,3,24,8,False
grid_2d,8,4,32,6,False
grid_2d,8,5,40,6,False
grid_2d,8,6,48,6,False
grid_2d,8,8,64,5,False
grid_2d,10,2,20,9,False
grid_2d,10,3,30,6,False
grid_2d,10,4,40,4,False
grid_2d,10,5,50,4,False
grid_2d,10,6,60,3,False
grid_2d,10,8,80,2,False
grid_2d,10,10,100,2,False
grid_2d,12,2,24,7,False
grid_2d,12,3,36,7,False
grid_2d,12,4,48,4,False
grid_2d,12,5,60,3,False
grid_2d,12,6,72,3,False
grid_2d,12,8,96,3,False
grid_2d,12,10,120,2,False
grid_2d,12,12,144,2,False
grid_2d,14,2,28,7,False
grid_2d,14,3,42,5,False
grid_2d,14,4,56,4,False
grid_2d,14,5,70,3,False
grid_2d,14,6,84,3,False
grid_2d,14,8,112,2,False
grid_2d,14,10,140,1,False
grid_2d,14,12,168,1,False
grid_2d,14,14,196,1,False
