framework,framework_version,simulator,architecture,n,k,depth,n_params,n_param_sets,n_grad_components,var_pooled,threshold,configuration_seed
PennyLane,0.44.1,lightning.qubit,all_to_all,8,2,1,8,50,400,0.05729730359647642,0.01,2935321149
PennyLane,0.44.1,lightning.qubit,all_to_all,8,2,2,16,50,800,0.03889108133837729,0.01,2935321149
PennyLane,0.44.1,lightning.qubit,all_to_all,8,2,3,24,50,1200,0.03885171438538043,0.01,2935321149
PennyLane,0.44.1,lightning.qubit,all_to_all,8,2,4,32,50,1600,0.009516312362875343,0.01,2935321149
PennyLane,0.44.1,lightning.qubit,all_to_all,8,2,5,40,50,2000,0.006854537622416925,0.01,2935321149
PennyLane,0.44.1,lightning.qubit,all_to_all,8,2,6,48,50,2400,0.006005280156535491,0.01,2935321149
PennyLane,0.44.1,lightning.qubit,all_to_all,8,2,7,56,50,2800,0.005939356741936744,0.01,2935321149
PennyLane,0.44.1,lightning.qubit,all_to_all,8,2,8,64,50,3200,0.006291364805580555,0.01,2935321149
PennyLane,0.44.1,lightning.qubit,all_to_all,8,2,9,72,50,3600,0.00503774670766142,0.01,2935321149
PennyLane,0.44.1,lightning.qubit,all_to_all,8,2,10,80,50,4000,0.005132480027873907,0.01,2935321149
PennyLane,0.44.1,lightning.qubit,all_to_all,8,2,11,88,50,4400,0.0040909520677596374,0.01,2935321149
PennyLane,0.44.1,lightning.qubit,all_to_all,8,2,12,96,50,4800,0.004334887751917033,0.01,2935321149
PennyLane,0.44.1,lightning.qubit,all_to_all,8,2,13,104,50,5200,0.004019301341738818,0.01,2935321149
PennyLane,0.44.1,lightning.qubit,all_to_all,8,2,14,112,50,5600,0.003625994194705474,0.01,2935321149
PennyLane,0.44.1,lightning.qubit,all_to_all,8,2,15,120,50,6000,0.003811960707509609,0.01,2935321149
PennyLane,0.44.1,lightning.qubit,all_to_all,8,2,16,128,50,6400,0.003754597897289644,0.01,2935321149
PennyLane,0.44.1,lightning.qubit,all_to_all,8,2,17,136,50,6800,0.0034449123866725074,0.01,2935321149
PennyLane,0.44.1,lightning.qubit,all_to_all,8,2,18,144,50,7200,0.003931948066830449,0.01,2935321149
PennyLane,0.44.1,lightning.qubit,all_to_all,8,2,19,152,50,7600,0.004151568236451343,0.01,2935321149
PennyLane,0.44.1,lightning.qubit,all_to_all,8,2,20,160,50,8000,0.003868172749935355,0.01,2935321149
PennyLane,0.44.1,lightning.qubit,all_to_all,8,2,21,168,50,8400,0.0037640199186286605,0.01,2935321149
PennyLane,0.44.1,lightning.qubit,all_to_all,8,2,22,176,50,8800,0.0036471754937122346,0.01,2935321149
PennyLane,0.44.1,lightning.qubit,all_to_all,8,2,23,184,50,9200,0.0038547855264129305,0.01,2935321149
PennyLane,0.44.1,lightning.qubit,all_to_all,8,2,24,192,50,9600,0.0036053419767163196,0.01,2935321149
PennyLane,0.44.1,lightning.qubit,all_to_all,8,2,25,200,50,10000,0.003923637987359674,0.01,2935321149
PennyLane,0.44.1,lightning.qubit,all_to_all,8,2,26,208,50,10400,0.0040258306843664925,0.01,2935321149
PennyLane,0.44.1,lightning.qubit,all_to_all,8,2,27,216,50,10800,0.003981438426951532,0.01,2935321149
PennyLane,0.44.1,lightning.qubit,all_to_all,8,2,28,224,50,11200,0.003835264207061931,0.01,2935321149
PennyLane,0.44.1,lightning.qubit,all_to_all,8,2,29,232,50,11600,0.00380476633620785,0.01,2935321149
PennyLane,0.44.1,lightning.qubit,all_to_all,8,2,30,240,50,12000,0.003875184687639974,0.01,2935321149
PennyLane,0.44.1,lightning.qubit,all_to_all,8,3,1,8,50,400,0.051845637229462144,0.01,3645832136
PennyLane,0.44.1,lightning.qubit,all_to_all,8,3,2,16,50,800,0.03698570096552158,0.01,3645832136
PennyLane,0.44.1,lightning.qubit,all_to_all,8,3,3,24,50,1200,0.021100114841859773,0.01,3645832136
PennyLane,0.44.1,lightning.qubit,all_to_all,8,3,4,32,50,1600,0.006669227920590541,0.01,3645832136
PennyLane,0.44.1,lightning.qubit,all_to_all,8,3,5,40,50,2000,0.00467841749374954,0.01,3645832136
PennyLane,0.44.1,lightning.qubit,all_to_all,8,3,6,48,50,2400,0.00678274609370312,0.01,3645832136
PennyLane,0.44.1,lightning.qubit,all_to_all,8,3,7,56,50,2800,0.005401605228433233,0.01,3645832136
PennyLane,0.44.1,lightning.qubit,all_to_all,8,3,8,64,50,3200,0.004752264916451615,0.01,3645832136
PennyLane,0.44.1,lightning.qubit,all_to_all,8,3,9,72,50,3600,0.005032632298568625,0.01,3645832136
PennyLane,0.44.1,lightning.qubit,all_to_all,8,3,10,80,50,4000,0.004503500530766204,0.01,3645832136
PennyLane,0.44.1,lightning.qubit,all_to_all,8,3,11,88,50,4400,0.004193320434616798,0.01,3645832136
PennyLane,0.44.1,lightning.qubit,all_to_all,8,3,12,96,50,4800,0.004138906401434694,0.01,3645832136
PennyLane,0.44.1,lightning.qubit,all_to_all,8,3,13,104,50,5200,0.003898700995544651,0.01,3645832136
PennyLane,0.44.1,lightning.qubit,all_to_all,8,3,14,112,50,5600,0.0037705462188131244,0.01,3645832136
PennyLane,0.44.1,lightning.qubit,all_to_all,8,3,15,120,50,6000,0.003714423685944413,0.01,3645832136
PennyLane,0.44.1,lightning.qubit,all_to_all,8,3,16,128,50,6400,0.003764584583692736,0.01,3645832136
PennyLane,0.44.1,lightning.qubit,all_to_all,8,3,17,136,50,6800,0.003717851970995837,0.01,3645832136
PennyLane,0.44.1,lightning.qubit,all_to_all,8,3,18,144,50,7200,0.003934943094501155,0.01,3645832136
PennyLane,0.44.1,lightning.qubit,all_to_all,8,3,19,152,50,7600,0.004064360795904605,0.01,3645832136
PennyLane,0.44.1,lightning.qubit,all_to_all,8,3,20,160,50,8000,0.003937547760937631,0.01,3645832136
PennyLane,0.44.1,lightning.qubit,all_to_all,8,3,21,168,50,8400,0.003754082749234618,0.01,3645832136
PennyLane,0.44.1,lightning.qubit,all_to_all,8,3,22,176,50,8800,0.00392744976023438,0.01,3645832136
PennyLane,0.44.1,lightning.qubit,all_to_all,8,3,23,184,50,9200,0.003680829003347334,0.01,3645832136
PennyLane,0.44.1,lightning.qubit,all_to_all,8,3,24,192,50,9600,0.0038085582923552395,0.01,3645832136
PennyLane,0.44.1,lightning.qubit,all_to_all,8,3,25,200,50,10000,0.003940072543015015,0.01,3645832136
PennyLane,0.44.1,lightning.qubit,all_to_all,8,3,26,208,50,10400,0.0038800262829453876,0.01,3645832136
PennyLane,0.44.1,lightning.qubit,all_to_all,8,3,27,216,50,10800,0.0039419022785214565,0.01,3645832136
PennyLane,0.44.1,lightning.qubit,all_to_all,8,3,28,224,50,11200,0.003930031589953652,0.01,3645832136
PennyLane,0.44.1,lightning.qubit,all_to_all,8,3,29,232,50,11600,0.00390257864329859,0.01,3645832136
PennyLane,0.44.1,lightning.qubit,all_to_all,8,3,30,240,50,12000,0.0037494767284842316,0.01,3645832136
PennyLane,0.44.1,lightning.qubit,all_to_all,8,4,1,8,50,400,0.045660477075452344,0.01,2783616348
PennyLane,0.44.1,lightning.qubit,all_to_all,8,4,2,16,50,800,0.05322042058383845,0.01,2783616348
PennyLane,0.44.1,lightning.qubit,all_to_all,8,4,3,24,50,1200,0.010182303187558682,0.01,2783616348
PennyLane,0.44.1,lightning.qubit,all_to_all,8,4,4,32,50,1600,0.004672156927751005,0.01,2783616348
PennyLane,0.44.1,lightning.qubit,all_to_all,8,4,5,40,50,2000,0.005785801325873136,0.01,2783616348
PennyLane,0.44.1,lightning.qubit,all_to_all,8,4,6,48,50,2400,0.005957420382303697,0.01,2783616348
PennyLane,0.44.1,lightning.qubit,all_to_all,8,4,7,56,50,2800,0.005515871566954202,0.01,2783616348
PennyLane,0.44.1,lightning.qubit,all_to_all,8,4,8,64,50,3200,0.0051928999360725345,0.01,2783616348
PennyLane,0.44.1,lightning.qubit,all_to_all,8,4,9,72,50,3600,0.005790846738983123,0.01,2783616348
PennyLane,0.44.1,lightning.qubit,all_to_all,8,4,10,80,50,4000,0.004248252364129643,0.01,2783616348
PennyLane,0.44.1,lightning.qubit,all_to_all,8,4,11,88,50,4400,0.004169123236485291,0.01,2783616348
PennyLane,0.44.1,lightning.qubit,all_to_all,8,4,12,96,50,4800,0.004171239522688755,0.01,2783616348
PennyLane,0.44.1,lightning.qubit,all_to_all,8,4,13,104,50,5200,0.004079279727587506,0.01,2783616348
PennyLane,0.44.1,lightning.qubit,all_to_all,8,4,14,112,50,5600,0.003924124078647063,0.01,2783616348
PennyLane,0.44.1,lightning.qubit,all_to_all,8,4,15,120,50,6000,0.0038408592579068763,0.01,2783616348
