architecture,n,mean_tau_BP,min_tau_BP,max_tau_BP,depth_state_2design,ratio_tau_to_state_2design,F2_at_tau_BP_over_Haar,bp_precedes_state_2design
all_to_all,8,3.8333333333333335,2.0,6.0,5,0.7666666666666667,2.6502139974979873,True
all_to_all,10,3.5714285714285716,2.0,5.0,4,0.8928571428571429,1.4987082104231866,True
all_to_all,12,2.5,1.0,4.0,8,0.3125,8.74843041784207,True
all_to_all,14,1.6666666666666667,1.0,4.0,6,0.2777777777777778,29.464928200850505,True
all_to_all,16,,,,7,,,
brickwall_1d,8,11.833333333333334,4.0,21.0,7,1.6904761904761905,1.6241505749799952,False
brickwall_1d,10,7.571428571428571,2.0,17.0,12,0.6309523809523809,2.274651339092508,True
brickwall_1d,12,6.25,1.0,15.0,12,0.5208333333333334,7.23115886609607,True
brickwall_1d,14,4.777777777777778,1.0,13.0,14,0.3412698412698413,8.777795469830146,True
brickwall_1d,16,,,,16,,,
grid_2d,8,6.833333333333333,5.0,10.0,6,1.1388888888888888,1.6512201181001966,False
grid_2d,10,4.285714285714286,2.0,9.0,10,0.42857142857142855,3.248398479678576,True
grid_2d,12,3.875,2.0,7.0,7,0.5535714285714286,4.9483064922926605,True
grid_2d,14,3.0,1.0,7.0,11,0.2727272727272727,9.758499259889971,True
grid_2d,16,,,,8,,,
