architecture,n,depth,state_frame_potential,haar_target,ratio_to_haar,log10_ratio
all_to_all,8,1,0.000598455799924817,3.0398832684824903e-05,19.686801994326782,1.2941751732727922
all_to_all,8,2,0.0003409135773110733,3.0398832684824903e-05,11.214693039225066,1.0497873908752815
all_to_all,8,3,0.0001549787663308941,3.0398832684824903e-05,5.098181497221092,0.7074152924589677
all_to_all,8,4,8.056341188892228e-05,3.0398832684824903e-05,2.6502139974979873,0.42328094343876055
all_to_all,8,5,5.3650935197137636e-05,3.0398832684824903e-05,1.7649011642450396,0.24672038959644516
all_to_all,8,6,5.384558795740464e-05,3.0398832684824903e-05,1.7713044614467832,0.24829321650446398
all_to_all,8,7,4.5511008642161136e-05,3.0398832684824903e-05,1.4971301402925328,0.17525955368596505
all_to_all,8,8,5.252508363630371e-05,3.0398832684824903e-05,1.7278651512998469,0.23750984558987598
all_to_all,8,9,5.1900852545413065e-05,3.0398832684824903e-05,1.7073304453339082,0.232317584791541
all_to_all,8,10,4.5079884803137035e-05,3.0398832684824903e-05,1.482947890483996,0.1711258905611768
all_to_all,8,11,5.847307318491473e-05,3.0398832684824903e-05,1.923530215490955,0.2840990127472915
all_to_all,8,12,4.847501887367182e-05,3.0398832684824903e-05,1.594634220868308,0.20266107982180742
all_to_all,8,13,3.456286970096774e-05,3.0398832684824903e-05,1.1369801616830348,0.05575288707405669
all_to_all,8,14,4.8006358054946526e-05,3.0398832684824903e-05,1.579217154575521,0.19844185296552075
all_to_all,8,15,4.165403880792477e-05,3.0398832684824903e-05,1.370251260625493,0.13680021029354894
all_to_all,8,16,6.454459204867647e-05,3.0398832684824903e-05,2.123258900033261,0.32700295318644307
all_to_all,8,17,5.323562640857478e-05,3.0398832684824903e-05,1.751239166336476,0.24334546163296564
all_to_all,8,18,4.877076426578169e-05,3.0398832684824903e-05,1.6043630612871544,0.2053026542670799
all_to_all,8,19,5.23992577825265e-05,3.0398832684824903e-05,1.7237259840139918,0.23646822837441578
all_to_all,8,20,3.906751668680022e-05,3.0398832684824903e-05,1.28516502892898,0.10895889930259917
all_to_all,8,21,4.592688286465045e-05,3.0398832684824903e-05,1.5108107387155414,0.17921006309507406
all_to_all,8,22,4.1125310781731665e-05,3.0398832684824903e-05,1.3528582234758448,0.13125228588931892
all_to_all,8,23,4.523193030700521e-05,3.0398832684824903e-05,1.4879495793792434,0.1725882149676745
all_to_all,8,24,5.875793709306684e-05,3.0398832684824903e-05,1.9329010986135267,0.2862096329083993
all_to_all,8,25,4.304331868246035e-05,3.0398832684824903e-05,1.4159530113782157,0.15104884146268208
all_to_all,8,26,4.471818946505561e-05,3.0398832684824903e-05,1.4710495606424694,0.1676273046452476
all_to_all,8,27,4.6341600881761044e-05,3.0398832684824903e-05,1.5244533026064113,0.18311412549971445
all_to_all,8,28,4.446697989704554e-05,3.0398832684824903e-05,1.4627857706932101,0.16518072706970055
all_to_all,8,29,4.342877224633759e-05,3.0398832684824903e-05,1.4286328918155213,0.15492064478722062
all_to_all,8,30,4.565870201148141e-05,3.0398832684824903e-05,1.5019886613696924,0.17666665415738936
all_to_all,10,1,5.691602252764956e-05,1.9054878048780488e-06,29.86952862251049,1.4752283689630865
all_to_all,10,2,1.196824980139647e-05,1.9054878048780488e-06,6.280937495772867,0.7980244715801588
all_to_all,10,3,8.190321760482588e-06,1.9054878048780488e-06,4.298280859901262,0.6332947899176677
all_to_all,10,4,2.8557702180319865e-06,1.9054878048780488e-06,1.4987082104231866,0.17571708652516066
all_to_all,10,5,4.662421141077288e-06,1.9054878048780488e-06,2.446838614837361,0.38860532570775563
all_to_all,10,6,3.1882162888863535e-06,1.9054878048780488e-06,1.6731759084075584,0.22354160266870315
all_to_all,10,7,3.6130786605635643e-06,1.9054878048780488e-06,1.8961436810637586,0.2778712430911276
all_to_all,10,8,3.469773247652906e-06,1.9054878048780488e-06,1.820937000368245,0.26029492060781045
all_to_all,10,9,3.067428011095129e-06,1.9054878048780488e-06,1.6097862202227238,0.20676820550877778
all_to_all,10,10,2.9624401521780385e-06,1.9054878048780488e-06,1.5546885918630347,0.19164341176842284
all_to_all,10,11,3.17380356968591e-06,1.9054878048780488e-06,1.6656121133711657,0.22157387063855785
all_to_all,10,12,2.597411523015289e-06,1.9054878048780488e-06,1.3631215672784236,0.13453458924910972
all_to_all,10,13,2.5605670279979438e-06,1.9054878048780488e-06,1.3437855762933208,0.1283299752193824
all_to_all,10,14,2.562526110485062e-06,1.9054878048780488e-06,1.3448137027825606,0.12866212563407226
all_to_all,10,15,3.18770922825014e-06,1.9054878048780488e-06,1.6729098029856735,0.22347252606604515
all_to_all,10,16,2.6963497998276027e-06,1.9054878048780488e-06,1.4150443749495258,0.15077005929036885
all_to_all,10,17,2.595592084530515e-06,1.9054878048780488e-06,1.3621667259616141,0.13423026743994168
all_to_all,10,18,2.7517944557504555e-06,1.9054878048780488e-06,1.444141730377839,0.1596098176799316
all_to_all,10,19,3.0440582919666054e-06,1.9054878048780488e-06,1.5975217916240745,0.20344679103546962
all_to_all,10,20,2.5982811574948162e-06,1.9054878048780488e-06,1.3635779514532795,0.1346799702338916
all_to_all,10,21,3.028457945233662e-06,1.9054878048780488e-06,1.589334729658626,0.20121537356627375
all_to_all,10,22,2.9223714412715467e-06,1.9054878048780488e-06,1.5336605323793078,0.18572924147114228
all_to_all,10,23,2.6286374780608978e-06,1.9054878048780488e-06,1.3795089484863592,0.13972452197043628
all_to_all,10,24,2.260750639930638e-06,1.9054878048780488e-06,1.1864419358355986,0.07424648881274153
all_to_all,10,25,3.018317945205422e-06,1.9054878048780488e-06,1.5840132576438055,0.19975881216348268
all_to_all,10,26,2.318978566251691e-06,1.9054878048780488e-06,1.2169999515688874,0.08529056094710248
all_to_all,10,27,2.7246623037951006e-06,1.9054878048780488e-06,1.4299027770316688,0.15530650960906903
all_to_all,10,28,2.6145937921885667e-06,1.9054878048780488e-06,1.37213882214056,0.13739805207021658
all_to_all,10,29,2.4127950095175465e-06,1.9054878048780488e-06,1.2662348209948084,0.10251425228919994
all_to_all,10,30,2.802291559871442e-06,1.9054878048780488e-06,1.4706426106205328,0.16750714513175982
all_to_all,12,1,1.8020991475736626e-06,1.1918019282401757e-07,15.120794025183837,1.1795745974946528
all_to_all,12,2,1.0426396241059184e-06,1.1918019282401757e-07,8.74843041784207,0.941930141934789
all_to_all,12,3,6.723333606045e-07,1.1918019282401757e-07,5.641317946156311,0.7513805773658793
all_to_all,12,4,6.961425413966647e-07,1.1918019282401757e-07,5.8410925918251735,0.7664940906430537
all_to_all,12,5,2.9808541188440327e-07,1.1918019282401757e-07,2.5011321497403394,0.39813663870643584
all_to_all,12,6,3.147190642840186e-07,1.1918019282401757e-07,2.6406994050490864,0.42171896759906446
all_to_all,12,7,2.531479711073632e-07,1.1918019282401757e-07,2.1240775426598235,0.3271703672750449
all_to_all,12,8,1.757457543368956e-07,1.1918019282401757e-07,1.4746221681013991,0.16868075839642066
all_to_all,12,9,1.84141544214465e-07,1.1918019282401757e-07,1.545068352812366,0.1889476970893942
all_to_all,12,10,1.6177600628453367e-07,1.1918019282401757e-07,1.3574068177873602,0.1327100261726672
all_to_all,12,11,1.8067548711615134e-07,1.1918019282401757e-07,1.5159858600240579,0.1806951505426279
all_to_all,12,12,1.6871328350330754e-07,1.1918019282401757e-07,1.4156151245067283,0.15094519401543804
all_to_all,12,13,1.3408506754367467e-07,1.1918019282401757e-07,1.125061676495739,0.05117633136075386
all_to_all,12,14,1.5862346713628284e-07,1.1918019282401757e-07,1.3309549462678545,0.1241633545592526
all_to_all,12,15,1.6820981698810574e-07,1.1918019282401757e-07,1.4113907101701515,0.14964725456395137
all_to_all,12,16,2.0353824748935833e-07,1.1918019282401757e-07,1.7078194175260695,0.23244194708007204
all_to_all,12,17,1.9797680867219615e-07,1.1918019282401757e-07,1.6611552975462147,0.22041023553065034
all_to_all,12,18,1.5462481808452385e-07,1.1918019282401757e-07,1.2974036576098187,0.1130751179487031
all_to_all,12,19,1.4262251342099483e-07,1.1918019282401757e-07,1.1966964479709508,0.07798400196047463
all_to_all,12,20,1.4942960412065386e-07,1.1918019282401757e-07,1.2538124043925891,0.09823256214722484
all_to_all,12,21,1.798285252035816e-07,1.1918019282401757e-07,1.5088792939705833,0.1786544988483163
all_to_all,12,22,2.1220213887373482e-07,1.1918019282401757e-07,1.7805151497537364,0.25054567327927485
all_to_all,12,23,1.8033666318655443e-07,1.1918019282401757e-07,1.5131429049862422,0.17987994581313002
all_to_all,12,24,1.99009800852879e-07,1.1918019282401757e-07,1.6698227795850142,0.22267038136769937
all_to_all,12,25,1.6540341314033378e-07,1.1918019282401757e-07,1.3878431408864205,0.14234038333996224
all_to_all,12,26,1.827264884632576e-07,1.1918019282401757e-07,1.5331951067831633,0.185597424526704
all_to_all,12,27,1.94014565571056e-07,1.1918019282401757e-07,1.6279094786961745,0.21163025190715068
all_to_all,12,28,1.6857157442237062e-07,1.1918019282401757e-07,1.4144260923565106,0.15058025930780689
all_to_all,12,29,1.7258682832951204e-07,1.1918019282401757e-07,1.4481167066439902,0.16080356393918493
all_to_all,12,30,2.189487882895072e-07,1.1918019282401757e-07,1.8371239641540833,0.26413846231105903
all_to_all,14,1,1.6391994962807516e-06,7.450125877326823e-09,220.02306045182047,2.342468201286405
all_to_all,14,2,2.1951742406273321e-07,7.450125877326823e-09,29.464928200850505,1.4693053871582196
all_to_all,14,3,1.0752339010950279e-07,7.450125877326823e-09,14.432425958966913,1.1593393381648078
all_to_all,14,4,3.952691564826147e-08,7.450125877326823e-09,5.305536617650292,0.7247293162860549
all_to_all,14,5,2.746052399260908e-08,7.450125877326823e-09,3.685914096590027,0.5665452093931839
all_to_all,14,6,1.357639271431638e-08,7.450125877326823e-09,1.8223038023604132,0.26062078135819355
all_to_all,14,7,1.427031054919034e-08,7.450125877326823e-09,1.9154455621507787,0.2822698136443487
all_to_all,14,8,1.2721871834049836e-08,7.450125877326823e-09,1.7076049510474267,0.2323874053316397
all_to_all,14,9,8.955260054877867e-09,7.450125877326823e-09,1.2020280197052322,0.07991459134520341
all_to_all,14,10,1.3882092366802914e-08,7.450125877326823e-09,1.8633366194590986,0.2702913190764361
all_to_all,14,11,1.3213853951773066e-08,7.450125877326823e-09,1.7736417034223755,0.2488658917399934
all_to_all,14,12,1.0809062563528945e-08,7.450125877326823e-09,1.450856366927231,0.16162441992323082
all_to_all,14,13,1.1036465535195744e-08,7.450125877326823e-09,1.481379740009941,0.17066640075701386
all_to_all,14,14,1.2166856928220755e-08,7.450125877326823e-09,1.633107564698805,0.21301479050315322
all_to_all,14,15,1.0952827426790871e-08,7.450125877326823e-09,1.4701533379622373,0.16736263431134277
all_to_all,14,16,1.0885173942836283e-08,7.450125877326823e-09,1.4610724868372276,0.16467176271903042
all_to_all,14,17,1.1572633108213582e-08,7.450125877326823e-09,1.5533473257724275,0.19126857408088518
all_to_all,14,18,1.3607872740879091e-08,7.450125877326823e-09,1.8265292378874176,0.2616266285060729
all_to_all,14,19,1.0800009283466002e-08,7.450125877326823e-09,1.449641182081765,0.16126051814787068
all_to_all,14,20,8.680116518433304e-09,7.450125877326823e-09,1.1650966253939072,0.0663619443622392
all_to_all,14,21,1.0782750091100122e-08,7.450125877326823e-09,1.4473245511079977,0.1605659291498394
all_to_all,14,22,1.004344962751702e-08,7.450125877326823e-09,1.3480912662271294,0.12971929507548557
all_to_all,14,23,1.2057284306020113e-08,7.450125877326823e-09,1.618400078677111,0.209085890875597
all_to_all,14,24,1.0907283222485521e-08,7.450125877326823e-09,1.4640401252386837,0.16555297968066673
all_to_all,14,25,1.0868417400244057e-08,7.450125877326823e-09,1.4588233244917668,0.164002698442873
all_to_all,14,26,8.744867790583683e-09,7.450125877326823e-09,1.1737879244694622,0.06958963732676705
all_to_all,14,27,1.0593742220776629e-08,7.450125877326823e-09,1.4219547958265861,0.15288579032122968
all_to_all,14,28,9.28786510948717e-09,7.450125877326823e-09,1.2466722391568161,0.0957522887345452
all_to_all,14,29,1.193769285360957e-08,7.450125877326823e-09,1.6023478059531697,0.2047567900325844
all_to_all,14,30,1.0082259863453694e-08,7.450125877326823e-09,1.3533006058511465,0.13139427624414518
all_to_all,16,1,5.0303622131582125e-08,4.656541819888002e-10,108.02785431183352,2.0335357500631313
all_to_all,16,2,5.6389200700288295e-08,4.656541819888002e-10,121.09673418898781,2.0831324309809838
all_to_all,16,3,1.2991042297745737e-08,4.656541819888002e-10,27.89847659535933,1.4455804891412527
all_to_all,16,4,2.166024396880554e-09,4.656541819888002e-10,4.6515729497574885,0.6675998363063803
all_to_all,16,5,9.82206544018155e-10,4.656541819888002e-10,2.1093046771816146,0.32413931566260873
all_to_all,16,6,2.0868893940564122e-09,4.656541819888002e-10,4.4816292321124385,0.6514359242409449
all_to_all,16,7,6.933648504350924e-10,4.656541819888002e-10,1.4890123985867456,0.17289831401502959
all_to_all,16,8,7.361973093822645e-10,4.656541819888002e-10,1.5809958073134438,0.19893071821617483
all_to_all,16,9,6.154238281379339e-10,4.656541819888002e-10,1.3216327737237756,0.12111079970308203
all_to_all,16,10,7.443933834011683e-10,4.656541819888002e-10,1.5985970108157908,0.20373899655615202
all_to_all,16,11,7.12515876499217e-10,4.656541819888002e-10,1.530139541442697,0.18473103821313186
all_to_all,16,12,6.527386995586335e-10,4.656541819888002e-10,1.4017670726606575,0.1466758542423797
all_to_all,16,13,6.764243774790512e-10,4.656541819888002e-10,1.4526324548188432,0.16215574297233945
all_to_all,16,14,6.967983022485523e-10,4.656541819888002e-10,1.496385792719696,0.17504357618165414
all_to_all,16,15,6.623695324419597e-10,4.656541819888002e-10,1.422449444377353,0.15303683997528986
all_to_all,16,16,7.246148433418617e-10,4.656541819888002e-10,1.5561222713539162,0.19204371841718318
all_to_all,16,17,5.763851754855191e-10,4.656541819888002e-10,1.2377966262941928,0.0926492946568337
all_to_all,16,18,7.65281353956664e-10,4.656541819888002e-10,1.6434542704806425,0.21575762423497188
all_to_all,16,19,7.133745765049053e-10,4.656541819888002e-10,1.531983613801332,0.18525412007875247
all_to_all,16,20,7.695687414956737e-10,4.656541819888002e-10,1.6526615056024196,0.2181839114645264
all_to_all,16,21,6.544568010032237e-10,4.656541819888002e-10,1.4054567237172682,0.14781747752073193
all_to_all,16,22,6.648196204376944e-10,4.656541819888002e-10,1.4277110485688378,0.1546403203882895
all_to_all,16,23,6.106495821820947e-10,4.656541819888002e-10,1.3113800021595896,0.11772855662349614
all_to_all,16,24,5.874711816726374e-10,4.656541819888002e-10,1.2616040065689071,0.10092305954405885
all_to_all,16,25,6.701735417326022e-10,4.656541819888002e-10,1.4392086824396244,0.1581237703515613
all_to_all,16,26,7.045273538353332e-10,4.656541819888002e-10,1.5129840578824185,0.17983435194243869
all_to_all,16,27,7.256763213129092e-10,4.656541819888002e-10,1.5584018127219632,0.19267944470310291
all_to_all,16,28,8.328197117690159e-10,4.656541819888002e-10,1.78849400259235,0.25248748815542993
all_to_all,16,29,5.325304596153611e-10,4.656541819888002e-10,1.143617904044013,0.05828094588729104
all_to_all,16,30,7.118770120393072e-10,4.656541819888002e-10,1.5287675695274419,0.18434146124955605
brickwall_1d,8,1,0.00021149277212145624,3.0398832684824903e-05,6.9572662317074245,0.8424386226977617
brickwall_1d,8,2,0.00016787668201284205,3.0398832684824903e-05,5.522471331494452,0.7421334700199631
brickwall_1d,8,3,0.00014268866432905325,3.0398832684824903e-05,4.6938863017685355,0.6715325656391053
brickwall_1d,8,4,6.307021966518387e-05,3.0398832684824903e-05,2.0747579461058887,0.31696743656501625
brickwall_1d,8,5,0.00013540840891097927,3.0398832684824903e-05,4.454395019535574,0.6487887280095385
brickwall_1d,8,6,0.00010396365488673609,3.0398832684824903e-05,3.4199883911540705,0.5340246318847066
brickwall_1d,8,7,5.2569115580516415e-05,3.0398832684824903e-05,1.729313626136668,0.23787376351608888
brickwall_1d,8,8,6.267602606614494e-05,3.0398832684824903e-05,2.0617905534719037,0.3142445454812514
brickwall_1d,8,9,8.390033851744086e-05,3.0398832684824903e-05,2.7599855358697347,0.4409068060839062
brickwall_1d,8,10,5.432417673769845e-05,3.0398832684824903e-05,1.7870481179633282,0.25213624645338384
brickwall_1d,8,11,4.818749208194908e-05,3.0398832684824903e-05,1.585175739527797,0.20007741701199322
brickwall_1d,8,12,4.9372281583779034e-05,3.0398832684824903e-05,1.6241505749799952,0.21062629020780296
brickwall_1d,8,13,4.961045214573873e-05,3.0398832684824903e-05,1.6319854337862212,0.212716278158959
brickwall_1d,8,14,5.4242453145465385e-05,3.0398832684824903e-05,1.7843597386732293,0.25148241549464445
brickwall_1d,8,15,4.74399832384711e-05,3.0398832684824903e-05,1.5605856886127454,0.1932876198901584
brickwall_1d,8,16,5.524744700488454e-05,3.0398832684824903e-05,1.8174200166726817,0.25945530696873853
brickwall_1d,8,17,4.1470643796123394e-05,3.0398832684824903e-05,1.3642182983172753,0.13488387044430447
brickwall_1d,8,18,5.3030745856388396e-05,3.0398832684824903e-05,1.7444994156917526,0.24167082832016284
brickwall_1d,8,19,4.8622946050349614e-05,3.0398832684824903e-05,1.5995004332723008,0.20398436206172882
brickwall_1d,8,20,4.900798769467539e-05,3.0398832684824903e-05,1.6121667632040415,0.20740996339547915
brickwall_1d,8,21,5.1248146889949526e-05,3.0398832684824903e-05,1.6858590400917797,0.22682125909681577
brickwall_1d,8,22,3.9384476297412766e-05,3.0398832684824903e-05,1.2955917322796904,0.11246816792970692
brickwall_1d,8,23,3.900492264153927e-05,3.0398832684824903e-05,1.2831059352160756,0.10826251388118001
brickwall_1d,8,24,4.48954442289571e-05,3.0398832684824903e-05,1.4768805333557729,0.16934536612930196
brickwall_1d,8,25,4.859179081703447e-05,3.0398832684824903e-05,1.598475550717166,0.2037059979615851
brickwall_1d,8,26,4.808450631790934e-05,3.0398832684824903e-05,1.5817879198339457,0.19914825449659784
brickwall_1d,8,27,5.168748456587771e-05,3.0398832684824903e-05,1.7003114922791132,0.23052849019346036
brickwall_1d,8,28,3.9062334786512436e-05,3.0398832684824903e-05,1.284994565137113,0.1089012908299957
brickwall_1d,8,29,5.9780780464107465e-05,3.0398832684824903e-05,1.9665485541472791,0.29370467362291675
brickwall_1d,8,30,4.021508395616808e-05,3.0398832684824903e-05,1.3229154018221052,0.12153207268594352
brickwall_1d,10,1,2.016603733188924e-05,1.9054878048780488e-06,10.583136391775474,1.0246143931986327
brickwall_1d,10,2,3.077812443786653e-05,1.9054878048780488e-06,16.152359704992353,1.2082359775647205
brickwall_1d,10,3,2.283000332996611e-05,1.9054878048780488e-06,11.981185747566215,1.078499801203691
brickwall_1d,10,4,1.1655654153513568e-05,1.9054878048780488e-06,6.1168872997639205,0.7865304789379645
brickwall_1d,10,5,8.51425366892482e-06,1.9054878048780488e-06,4.468280325451746,0.6501404115290335
brickwall_1d,10,6,6.690407613691882e-06,1.9054878048780488e-06,3.5111259156654997,0.5454464043722596
brickwall_1d,10,7,5.542951743510189e-06,1.9054878048780488e-06,2.9089410749941473,0.4637349240438703
brickwall_1d,10,8,4.334320386990297e-06,1.9054878048780488e-06,2.274651339092508,0.3569148369875888
brickwall_1d,10,9,4.667725966574684e-06,1.9054878048780488e-06,2.449622587258394,0.3890991778759266
brickwall_1d,10,10,7.3024147319199455e-06,1.9054878048780488e-06,3.8323072513115872,0.5834603209179702
brickwall_1d,10,11,3.978310262302952e-06,1.9054878048780488e-06,2.0878172256565892,0.3196924764359835
brickwall_1d,10,12,3.267671199307205e-06,1.9054878048780488e-06,1.7148738453964212,0.23423217670333807
brickwall_1d,10,13,3.379670927973513e-06,1.9054878048780488e-06,1.7736513030004994,0.24886824228944074
brickwall_1d,10,14,3.5855882076364107e-06,1.9054878048780488e-06,1.8817166913675882,0.2745542372434244
brickwall_1d,10,15,3.3350166078094662e-06,1.9054878048780488e-06,1.7502167157784079,0.24309182733742762
brickwall_1d,10,16,3.6502676042305694e-06,1.9054878048780488e-06,1.9156604387002028,0.2823185304899711
brickwall_1d,10,17,3.3506381657142597e-06,1.9054878048780488e-06,1.7584149093668435,0.24512135742034924
brickwall_1d,10,18,3.433167590002539e-06,1.9054878048780488e-06,1.8017263512333324,0.2556888303866646
brickwall_1d,10,19,3.5641813642000716e-06,1.9054878048780488e-06,1.8704823799321975,0.2719536214707329
brickwall_1d,10,20,2.7034516124538973e-06,1.9054878048780488e-06,1.4187714062158052,0.15191242715835698
brickwall_1d,10,21,3.6346330396496976e-06,1.9054878048780488e-06,1.9074554192081612,0.28045439647323717
brickwall_1d,10,22,2.629525934885817e-06,1.9054878048780488e-06,1.379975210628077,0.13987128496345919
brickwall_1d,10,23,3.1892805962476847e-06,1.9054878048780488e-06,1.673734456910785,0.22368655697497453
brickwall_1d,10,24,3.075688449891928e-06,1.9054878048780488e-06,1.614121298503284,0.2079361681129478
brickwall_1d,10,25,2.7823512790785087e-06,1.9054878048780488e-06,1.4601779512604014,0.1644057862919785
