architecture,n,k,tau_BP,tau_state2design_first_crossing,tau_state2design_persistent,tau_state2design_persistent_1.5,tau_BP_over_tau_state2design_first_crossing,tau_BP_over_tau_state2design_persistent,tau_BP_over_tau_state2design_persistent_1.5,F2_over_Haar_at_tau_BP
all_to_all,8,2,4,5,5,,0.8,0.8,,2.6502139974979877
all_to_all,8,3,4,5,5,,0.8,0.8,,2.6502139974979877
all_to_all,8,4,4,5,5,,0.8,0.8,,2.6502139974979877
all_to_all,8,5,3,5,5,,0.6,0.6,,5.098181497221092
all_to_all,8,6,2,5,5,,0.4,0.4,,11.214693039225066
all_to_all,8,8,6,5,5,,1.2,1.2,,1.7713044614467832
all_to_all,10,2,5,4,6,12.0,1.25,0.8333333333333334,0.4166666666666667,2.446838614837361
all_to_all,10,3,5,4,6,12.0,1.25,0.8333333333333334,0.4166666666666667,2.446838614837361
all_to_all,10,4,4,4,6,12.0,1.0,0.6666666666666666,0.3333333333333333,1.4987082104231866
all_to_all,10,5,4,4,6,12.0,1.0,0.6666666666666666,0.3333333333333333,1.4987082104231866
all_to_all,10,6,3,4,6,12.0,0.75,0.5,0.25,4.298280859901262
all_to_all,10,8,2,4,6,12.0,0.5,0.3333333333333333,0.16666666666666666,6.280937495772867
all_to_all,10,10,2,4,6,12.0,0.5,0.3333333333333333,0.16666666666666666,6.280937495772867
all_to_all,12,2,4,8,8,12.0,0.5,0.5,0.3333333333333333,5.8410925918251735
all_to_all,12,3,3,8,8,12.0,0.375,0.375,0.25,5.641317946156311
all_to_all,12,4,2,8,8,12.0,0.25,0.25,0.16666666666666666,8.74843041784207
all_to_all,12,5,1,8,8,12.0,0.125,0.125,0.08333333333333333,15.120794025183836
all_to_all,12,6,4,8,8,12.0,0.5,0.5,0.3333333333333333,5.8410925918251735
all_to_all,12,8,3,8,8,12.0,0.375,0.375,0.25,5.641317946156311
all_to_all,12,10,2,8,8,12.0,0.25,0.25,0.16666666666666666,8.74843041784207
all_to_all,12,12,1,8,8,12.0,0.125,0.125,0.08333333333333333,15.120794025183836
all_to_all,14,2,4,6,6,19.0,0.6666666666666666,0.6666666666666666,0.21052631578947367,5.305536617650292
all_to_all,14,3,3,6,6,19.0,0.5,0.5,0.15789473684210525,14.432425958966911
all_to_all,14,4,2,6,6,19.0,0.3333333333333333,0.3333333333333333,0.10526315789473684,29.464928200850505
all_to_all,14,5,1,6,6,19.0,0.16666666666666666,0.16666666666666666,0.05263157894736842,220.02306045182047
all_to_all,14,6,1,6,6,19.0,0.16666666666666666,0.16666666666666666,0.05263157894736842,220.02306045182047
all_to_all,14,8,1,6,6,19.0,0.16666666666666666,0.16666666666666666,0.05263157894736842,220.02306045182047
all_to_all,14,10,1,6,6,19.0,0.16666666666666666,0.16666666666666666,0.05263157894736842,220.02306045182047
all_to_all,14,12,1,6,6,19.0,0.16666666666666666,0.16666666666666666,0.05263157894736842,220.02306045182047
all_to_all,14,14,1,6,6,19.0,0.16666666666666666,0.16666666666666666,0.05263157894736842,220.02306045182047
brickwall_1d,8,2,21,7,10,22.0,3.0,2.1,0.9545454545454546,1.6858590400917797
brickwall_1d,8,3,18,7,10,22.0,2.5714285714285716,1.8,0.8181818181818182,1.7444994156917526
brickwall_1d,8,4,15,7,10,22.0,2.142857142857143,1.5,0.6818181818181818,1.5605856886127454
brickwall_1d,8,5,8,7,10,22.0,1.1428571428571428,0.8,0.36363636363636365,2.061790553471904
brickwall_1d,8,6,5,7,10,22.0,0.7142857142857143,0.5,0.22727272727272727,4.454395019535574
brickwall_1d,8,8,4,7,10,22.0,0.5714285714285714,0.4,0.18181818181818182,2.0747579461058887
brickwall_1d,10,2,17,12,12,,1.4166666666666667,1.4166666666666667,,1.7584149093668435
brickwall_1d,10,3,14,12,12,,1.1666666666666667,1.1666666666666667,,1.881716691367588
brickwall_1d,10,4,9,12,12,,0.75,0.75,,2.449622587258394
brickwall_1d,10,5,4,12,12,,0.3333333333333333,0.3333333333333333,,6.1168872997639205
brickwall_1d,10,6,5,12,12,,0.4166666666666667,0.4166666666666667,,4.468280325451746
brickwall_1d,10,8,2,12,12,,0.16666666666666666,0.16666666666666666,,16.152359704992353
brickwall_1d,10,10,2,12,12,,0.16666666666666666,0.16666666666666666,,16.152359704992353
brickwall_1d,12,2,15,12,16,,1.25,0.9375,,2.1791985682617216
brickwall_1d,12,3,12,12,16,,1.0,0.75,,1.8334583317703597
brickwall_1d,12,4,9,12,16,,0.75,0.5625,,4.721062457905029
brickwall_1d,12,5,6,12,16,,0.5,0.375,,7.23115886609607
brickwall_1d,12,6,3,12,16,,0.25,0.1875,,33.960871316457215
brickwall_1d,12,8,2,12,16,,0.16666666666666666,0.125,,10.443771311788629
brickwall_1d,12,10,2,12,16,,0.16666666666666666,0.125,,10.443771311788629
brickwall_1d,12,12,1,12,16,,0.08333333333333333,0.0625,,25.665538237879822
brickwall_1d,14,2,13,14,17,,0.9285714285714286,0.7647058823529411,,2.164373950412249
