config_name,n,k,depth,S,var_pennylane,var_qiskit,diff_abs,diff_rel,time_pl,time_qk
Small / Baseline,8,2,1,50,0.05547043966401358,0.055470439664013604,2.7755575615628914e-17,5.003669663291912e-16,0.4558992385864258,1.8835771083831787
Small / Baseline,8,2,2,50,0.062110704202495974,0.06211070420249598,6.938893903907228e-18,1.117181650571011e-16,0.6977701187133789,5.191995859146118
Small / Baseline,8,2,3,50,0.038945294362466965,0.038945294362466965,0.0,0.0,0.7300114631652832,10.730636835098267
Small / Baseline,8,2,4,50,0.0502729020589382,0.05027290205893822,1.3877787807814457e-17,2.7604906897048873e-16,0.896573543548584,17.101537466049194
Small / Baseline,8,2,5,50,0.0356852253205887,0.035685225320588695,6.938893903907228e-18,1.9444724929069768e-16,1.3382277488708496,25.973132133483887
Small / Baseline,8,2,6,50,0.03748084247452105,0.03748084247452105,0.0,0.0,1.3360278606414795,36.010295152664185
Small / Baseline,8,2,7,50,0.03070215878434658,0.03070215878434658,0.0,0.0,1.3457276821136475,49.24640488624573
Small / Baseline,8,2,8,50,0.029182264083559124,0.029182264083559128,3.469446951953614e-18,1.1888888888193743e-16,1.6507625579833984,61.36471343040466
Small / Locality,8,4,1,50,0.06304103911150738,0.06304103911150738,0.0,0.0,0.43476319313049316,2.137038469314575
Small / Locality,8,4,2,50,0.0413035387222159,0.04130353872221592,2.0816681711721685e-17,5.039926930165195e-16,0.566683292388916,4.992356538772583
Small / Locality,8,4,3,50,0.024476414552401324,0.024476414552401335,1.0408340855860843e-17,4.2523960499107104e-16,0.8001382350921631,11.433043479919434
Small / Locality,8,4,4,50,0.023661671298912213,0.023661671298912217,3.469446951953614e-18,1.4662729898175508e-16,1.0902698040008545,17.33480954170227
Small / Locality,8,4,5,50,0.02011941775398481,0.02011941775398481,0.0,0.0,0.4674673080444336,7.409893751144409
Small / Locality,8,4,6,50,0.02032847255782489,0.020328472557824894,3.469446951953614e-18,1.7066933789957305e-16,0.4128577709197998,10.157373666763306
Intermediate,12,2,1,50,0.04354367603899277,0.04354367603899275,2.0816681711721685e-17,4.780644080917888e-16,0.19549179077148438,1.0989248752593994
Intermediate,12,2,2,50,0.04164815965958173,0.04164815965958173,0.0,0.0,0.2974526882171631,3.741873025894165
Intermediate,12,2,3,50,0.028195327885683588,0.02819532788568362,3.122502256758253e-17,1.1074537843355705e-15,0.36842823028564453,7.835946083068848
Intermediate,12,2,4,50,0.028813398579464015,0.028813398579464015,0.0,0.0,0.4989027976989746,13.156547784805298
Intermediate,12,2,5,50,0.023652572129017835,0.02365257212901783,3.469446951953614e-18,1.466837066611107e-16,0.5467555522918701,19.6612548828125
Intermediate,12,2,6,50,0.021944633385532403,0.021944633385532417,1.3877787807814457e-17,6.324000754081299e-16,0.8766353130340576,27.800920724868774
Intermediate,12,2,7,50,0.01925753296162141,0.01925753296162142,1.0408340855860843e-17,5.404815287920712e-16,1.823674201965332,126.86167407035828
Intermediate,12,2,8,50,0.0206845428929351,0.0206845428929351,0.0,0.0,2.8492934703826904,154.83947086334229
Intermediate,12,2,9,50,0.014448560081319986,0.014448560081319983,3.469446951953614e-18,2.401240630503475e-16,2.674344062805176,199.6714084148407
Intermediate,12,2,10,50,0.016749053374496437,0.016749053374496444,6.938893903907228e-18,4.1428573596123293e-16,3.6794424057006836,246.01807737350464
Interpolation Edge,14,4,1,50,0.04097990239180175,0.04097990239180171,4.163336342344337e-17,1.0159458903877806e-15,0.7496838569641113,7.952564716339111
Interpolation Edge,14,4,2,50,0.023125591534206513,0.02312559153420649,2.42861286636753e-17,1.050184105680158e-15,1.269507884979248,26.750138998031616
Interpolation Edge,14,4,3,50,0.015499447287763993,0.015499447287763993,0.0,0.0,1.8676197528839111,73.46198201179504
Interpolation Edge,14,4,4,50,0.01606235361207606,0.016062353612076072,1.0408340855860843e-17,6.479959977992019e-16,3.6348798274993896,142.3299515247345
Interpolation Edge,14,4,5,50,0.011248280568221202,0.011248280568221195,6.938893903907228e-18,6.168848529179728e-16,4.4426069259643555,219.34723591804504
Interpolation Edge,14,4,6,50,0.012361359531048883,0.01236135953104888,1.734723475976807e-18,1.403343597942914e-16,5.237515449523926,294.7845320701599
Interpolation Edge,14,4,7,50,0.008996437688532768,0.008996437688532768,0.0,0.0,3.9168004989624023,147.50431561470032
Out-of-Sample Spot,18,4,1,50,0.02422088063703608,0.024220880637036098,1.734723475976807e-17,7.162099107677556e-16,2.9180967807769775,13.702300548553467
Out-of-Sample Spot,18,4,2,50,0.016471343598195038,0.016471343598195277,2.393918396847994e-16,1.4533838011310286e-14,5.303668260574341,48.59058737754822
Out-of-Sample Spot,18,4,3,50,0.011614853894048824,0.01161485389404876,6.418476861114186e-17,5.526093500326218e-15,11.64250659942627,152.48742723464966
Out-of-Sample Spot,18,4,4,50,0.010874991913021454,0.010874991913021525,7.112366251504909e-17,6.5401117613602385e-15,16.64985728263855,224.54869031906128
Out-of-Sample Spot,18,4,5,50,0.010398328882527787,0.010398328882527815,2.7755575615628914e-17,2.6692342518869874e-15,26.264582633972168,509.83253026008606
Out-of-Sample Spot,18,4,6,50,0.009646686284554272,0.009646686284554269,3.469446951953614e-18,3.5965168241333774e-16,29.088152170181274,692.0382459163666
Out-of-Sample Spot,18,4,7,50,0.007011769915304322,0.007011769915304315,6.938893903907228e-18,9.896066168346411e-16,34.46836876869202,2776.746029615402
Out-of-Sample Spot,18,4,8,50,0.008023911681659755,0.00802391168165976,5.204170427930421e-18,6.485827155632318e-16,45.34484505653381,1851.2551794052124
