Model,Parameter,Coefficient,Std_Error,t_statistic,p_value,CI_95_lower,CI_95_upper
System-size only,Intercept,5.630598194040226,2.5885199098199276,2.1752191948301154,0.04244536017483953,0.21276375747240905,11.048432630608042
System-size only,log_n,-1.6574291354848172,1.118587994959924,-1.4817154689240146,0.15481128368965913,-3.998660715908247,0.6838024449386126
Support-size only,Intercept,4.129355801577499,0.22525419671910865,18.331981653273232,1.541367548133323e-13,3.6578933494879937,4.600818253667004
Support-size only,log_k,-1.4763169887333885,0.1355631122232391,-10.890255944421352,1.3098287375017477e-09,-1.7600538435070747,-1.1925801339597022
Ratio-based,Intercept,0.8212829015484203,0.18229520871449037,4.505235805921309,0.00024228885622318028,0.4397346447056172,1.2028311583912235
Ratio-based,log_k_over_n,-1.3404474835120634,0.2018850323716248,-6.6396575702779295,2.371332978185972e-06,-1.762997712490865,-0.9178972545332619
"Separate n,k exponents",Intercept,5.94575098721277,0.9474620348958182,6.275450380306328,6.442796957166495e-06,3.9552071158085957,7.936294858616943
"Separate n,k exponents",log_n,-0.8181214224618876,0.4161338226072651,-1.9660055924702053,0.06491556093300374,-1.6923861420672126,0.056143297143437576
"Separate n,k exponents",log_k,-1.43055063414287,0.1284956140383064,-11.133069753776983,1.6710196020939099e-09,-1.7005099017502436,-1.1605913665354963
Product nk,Intercept,7.061406922823565,0.46092891286366267,15.319947882966165,3.794869749134388e-12,6.096671620827669,8.026142224819461
Product nk,log_nk,-1.3538017251713454,0.11739198137107139,-11.532318556682606,5.055170604392313e-10,-1.5995059659756445,-1.1080974843670464
