n,k,min_depth,max_depth,n_depths,missing_internal_depths,complete_contiguous
8,2,1,30,30,[],True
8,3,1,30,30,[],True
8,4,1,30,30,[],True
8,5,1,30,30,[],True
8,6,1,30,30,[],True
8,8,1,30,30,[],True
10,2,1,30,30,[],True
10,3,1,30,30,[],True
10,4,1,30,30,[],True
10,5,1,30,30,[],True
10,6,1,30,30,[],True
10,8,1,30,30,[],True
10,10,1,30,30,[],True
12,2,1,30,30,[],True
12,3,1,30,30,[],True
12,4,1,30,30,[],True
12,5,1,30,30,[],True
12,6,1,30,30,[],True
12,8,1,30,30,[],True
12,10,1,30,30,[],True
12,12,1,30,30,[],True
14,2,1,30,30,[],True
14,3,1,30,30,[],True
14,4,1,30,30,[],True
14,5,1,30,30,[],True
14,6,1,30,30,[],True
14,8,1,30,30,[],True
14,10,1,30,30,[],True
14,12,1,30,30,[],True
14,14,1,30,30,[],True
16,2,1,30,30,[],True
16,3,1,30,30,[],True
16,4,1,30,30,[],True
16,5,1,30,30,[],True
16,6,1,30,30,[],True
16,8,1,30,30,[],True
16,10,1,30,30,[],True
16,12,1,30,30,[],True
16,14,1,30,30,[],True
16,16,1,30,30,[],True
