n,k,nk,architecture,tau_BP,censored
14,2,28,brickwall,13,False
14,3,42,brickwall,10,False
14,4,56,brickwall,7,False
14,5,70,brickwall,4,False
14,6,84,brickwall,2,False
14,8,112,brickwall,2,False
14,10,140,brickwall,2,False
14,12,168,brickwall,1,False
14,14,196,brickwall,1,False
16,2,32,brickwall,12,False
16,3,48,brickwall,10,False
16,4,64,brickwall,7,False
16,5,80,brickwall,2,False
16,6,96,brickwall,2,False
16,8,128,brickwall,2,False
16,10,160,brickwall,2,False
16,12,192,brickwall,1,False
16,14,224,brickwall,1,False
16,16,256,brickwall,1,False
