n,k,seed,tau_BP,censored
8,2,42082231,2,True
8,2,42082262,3,True
8,2,42082293,4,True
8,2,42082324,5,True
8,2,42082355,6,True
8,2,42082386,7,True
8,2,42082417,8,True
8,2,42082448,9,True
8,2,42082479,10,True
8,2,42082510,11,True
8,2,42082541,12,True
8,2,42082572,13,True
8,2,42082603,14,True
8,2,42082634,15,True
8,2,42082665,16,True
8,2,42082696,17,True
8,2,42082727,18,True
8,2,42082758,19,True
8,2,42082789,19,False
8,2,42082820,21,True
8,2,42132252,2,True
8,2,42132283,3,True
8,2,42132314,4,True
8,2,42132345,5,True
8,2,42132376,6,True
8,2,42132407,7,True
8,2,42132438,8,True
8,2,42132469,9,True
8,2,42132500,10,True
8,2,42132531,11,True
8,2,42132562,12,True
8,2,42132593,13,True
8,2,42132624,14,True
8,2,42132655,15,True
8,2,42132686,15,False
8,2,42132717,16,False
8,2,42132748,17,False
8,4,42084249,2,True
8,4,42084280,3,True
8,4,42084311,4,True
8,4,42084342,5,True
8,4,42084373,6,True
8,4,42084404,7,True
8,4,42084435,8,True
8,4,42084466,9,True
8,4,42084497,10,True
8,4,42084528,11,True
8,4,42084559,12,True
8,4,42084590,13,True
8,4,42084621,13,False
8,4,42084652,14,False
8,4,42084683,15,False
8,4,42084714,16,False
8,4,42084745,17,False
8,4,42084776,18,False
8,4,42084807,19,False
8,4,42084838,20,False
8,6,42086267,2,True
8,6,42086298,3,True
8,6,42086329,4,True
8,6,42086360,5,True
8,6,42086391,6,True
8,6,42086422,7,True
8,6,42086453,7,False
8,6,42086484,8,False
8,6,42086515,9,False
8,6,42086546,10,False
8,6,42086577,11,False
8,6,42086608,12,False
8,6,42086639,13,False
8,6,42086670,14,False
8,6,42086701,15,False
8,6,42086732,16,False
8,6,42086763,17,False
8,6,42086794,18,False
8,6,42086825,19,False
8,6,42086856,20,False
8,8,42088285,2,True
8,8,42088316,2,False
8,8,42088347,4,True
8,8,42088378,4,False
8,8,42088409,5,False
8,8,42088440,6,False
8,8,42088471,7,False
8,8,42088502,8,False
8,8,42088533,9,False
8,8,42088564,10,False
8,8,42088595,11,False
8,8,42088626,12,False
8,8,42088657,13,False
8,8,42088688,14,False
8,8,42088719,15,False
8,8,42088750,16,False
8,8,42088781,17,False
8,8,42088812,18,False
8,8,42088843,19,False
8,8,42088874,20,False
10,2,42102245,2,True
10,2,42102276,3,True
10,2,42102307,4,True
10,2,42102338,5,True
10,2,42102369,6,True
10,2,42102400,7,True
10,2,42102431,8,True
10,2,42102462,9,True
10,2,42102493,10,True
10,2,42102524,11,True
10,2,42102555,12,True
10,2,42102586,13,True
10,2,42102617,14,True
10,2,42102648,15,True
10,2,42102679,16,True
10,2,42102710,17,True
10,2,42102741,17,False
10,2,42102772,18,False
10,2,42102803,19,False
10,2,42102834,20,False
10,4,42104263,2,True
10,4,42104294,3,True
10,4,42104325,4,True
10,4,42104356,5,True
10,4,42104387,6,True
10,4,42104418,7,True
10,4,42104449,8,True
10,4,42104480,9,True
10,4,42104511,10,True
10,4,42104542,11,True
10,4,42104573,12,True
10,4,42104604,13,True
10,4,42104635,13,False
10,4,42104666,14,False
10,4,42104697,15,False
10,4,42104728,16,False
10,4,42104759,17,False
10,4,42104790,18,False
10,4,42104821,19,False
10,4,42104852,20,False
10,6,42106281,2,True
10,6,42106312,3,True
10,6,42106343,4,True
10,6,42106374,5,True
10,6,42106405,5,False
10,6,42106436,6,False
10,6,42106467,7,False
10,6,42106498,9,True
10,6,42106529,9,False
10,6,42106560,10,False
10,6,42106591,11,False
10,6,42106622,12,False
10,6,42106653,13,False
10,6,42106684,14,False
10,6,42106715,15,False
10,6,42106746,16,False
10,6,42106777,17,False
10,6,42106808,18,False
10,6,42106839,19,False
10,6,42106870,20,False
10,8,42108299,2,True
10,8,42108330,2,False
10,8,42108361,3,False
10,8,42108392,4,False
10,8,42108423,5,False
10,8,42108454,6,False
10,8,42108485,7,False
10,8,42108516,8,False
10,8,42108547,9,False
10,8,42108578,10,False
10,8,42108609,11,False
10,8,42108640,12,False
10,8,42108671,13,False
10,8,42108702,14,False
10,8,42108733,15,False
10,8,42108764,16,False
10,8,42108795,17,False
10,8,42108826,18,False
10,8,42108857,19,False
10,8,42108888,20,False
10,10,42110317,2,True
10,10,42110348,2,False
10,10,42110379,3,False
10,10,42110410,4,False
10,10,42110441,5,False
10,10,42110472,6,False
10,10,42110503,7,False
10,10,42110534,8,False
10,10,42110565,9,False
10,10,42110596,10,False
10,10,42110627,11,False
10,10,42110658,12,False
10,10,42110689,13,False
10,10,42110720,14,False
10,10,42110751,15,False
10,10,42110782,16,False
10,10,42110813,17,False
10,10,42110844,18,False
10,10,42110875,19,False
10,10,42110906,20,False
12,2,42122259,2,True
12,2,42122290,3,True
12,2,42122321,4,True
12,2,42122352,5,True
12,2,42122383,6,True
12,2,42122414,7,True
12,2,42122445,8,True
12,2,42122476,9,True
12,2,42122507,10,True
12,2,42122538,11,True
12,2,42122569,12,True
12,2,42122600,13,True
12,2,42122631,14,True
12,2,42122662,15,True
12,2,42122693,15,False
12,2,42122724,17,True
12,2,42122755,17,False
12,2,42122786,18,False
12,2,42122817,19,False
12,2,42122848,20,False
12,4,42124277,2,True
12,4,42124308,3,True
12,4,42124339,4,True
12,4,42124370,5,True
12,4,42124401,6,True
12,4,42124432,7,True
12,4,42124463,8,True
12,4,42124494,9,True
12,4,42124525,9,False
12,4,42124556,10,False
12,4,42124587,11,False
12,4,42124618,12,False
12,4,42124649,13,False
12,4,42124680,14,False
12,4,42124711,15,False
12,4,42124742,16,False
12,4,42124773,17,False
12,4,42124804,18,False
12,4,42124835,19,False
12,4,42124866,20,False
12,6,42126295,2,True
12,6,42126326,3,True
12,6,42126357,3,False
12,6,42126388,4,False
12,6,42126419,5,False
12,6,42126450,6,False
12,6,42126481,7,False
12,6,42126512,8,False
12,6,42126543,9,False
12,6,42126574,10,False
12,6,42126605,11,False
12,6,42126636,12,False
12,6,42126667,13,False
12,6,42126698,14,False
12,6,42126729,15,False
12,6,42126760,16,False
12,6,42126791,17,False
12,6,42126822,18,False
12,6,42126853,19,False
12,6,42126884,20,False
12,8,42128313,2,True
12,8,42128344,2,False
12,8,42128375,3,False
12,8,42128406,4,False
12,8,42128437,5,False
12,8,42128468,6,False
12,8,42128499,7,False
12,8,42128530,8,False
12,8,42128561,9,False
12,8,42128592,10,False
12,8,42128623,11,False
12,8,42128654,12,False
12,8,42128685,13,False
12,8,42128716,14,False
12,8,42128747,15,False
12,8,42128778,16,False
12,8,42128809,17,False
12,8,42128840,18,False
12,8,42128871,19,False
12,8,42128902,20,False
12,10,42130331,2,True
12,10,42130362,2,False
12,10,42130393,3,False
12,10,42130424,4,False
12,10,42130455,5,False
12,10,42130486,6,False
12,10,42130517,7,False
12,10,42130548,8,False
12,10,42130579,9,False
12,10,42130610,10,False
12,10,42130641,11,False
12,10,42130672,12,False
12,10,42130703,13,False
12,10,42130734,14,False
12,10,42130765,15,False
12,10,42130796,16,False
12,10,42130827,17,False
12,10,42130858,18,False
12,10,42130889,19,False
12,10,42130920,20,False
12,12,42132349,1,False
12,12,42132380,2,False
12,12,42132411,3,False
12,12,42132442,4,False
12,12,42132473,5,False
12,12,42132504,6,False
12,12,42132535,7,False
12,12,42132566,8,False
12,12,42132597,9,False
12,12,42132628,10,False
12,12,42132659,11,False
12,12,42132690,12,False
12,12,42132721,13,False
12,12,42132752,14,False
12,12,42132783,15,False
12,12,42132814,16,False
12,12,42132845,17,False
12,12,42132876,18,False
12,12,42132907,19,False
12,12,42132938,20,False
