n,k,seed_id,tau_BP
8,2,1,21.0
8,2,2,21.0
8,2,3,21.0
8,2,4,21.0
8,2,5,21.0
8,2,6,21.0
8,2,7,21.0
8,2,8,21.0
8,2,9,21.0
8,2,10,21.0
10,6,1,4.0
10,6,2,4.0
10,6,3,4.0
10,6,4,4.0
10,6,5,4.0
10,6,6,4.0
10,6,7,4.0
10,6,8,4.0
10,6,9,4.0
10,6,10,4.0
12,12,1,1.0
12,12,2,1.0
12,12,3,1.0
12,12,4,1.0
12,12,5,1.0
12,12,6,1.0
12,12,7,1.0
12,12,8,1.0
12,12,9,1.0
12,12,10,1.0
14,2,1,13.0
14,2,2,13.0
14,2,3,13.0
14,2,4,13.0
14,2,5,13.0
14,2,6,13.0
14,2,7,13.0
14,2,8,13.0
14,2,9,13.0
14,2,10,13.0
14,14,1,1.0
14,14,2,1.0
14,14,3,1.0
14,14,4,1.0
14,14,5,1.0
14,14,6,1.0
14,14,7,1.0
14,14,8,1.0
14,14,9,1.0
14,14,10,1.0
