n,k,nk,architecture,threshold,tau_BP,censored,tau_baseline,baseline_censored,delta_tau,abs_delta_tau
8,2,16,brickwall,0.1,1,False,19,False,-18,18
8,3,24,brickwall,0.1,1,False,16,False,-15,15
8,4,32,brickwall,0.1,1,False,13,False,-12,12
8,5,40,brickwall,0.1,1,False,10,False,-9,9
8,6,48,brickwall,0.1,1,False,7,False,-6,6
8,8,64,brickwall,0.1,1,False,2,False,-1,1
10,2,20,brickwall,0.1,1,False,17,False,-16,16
10,3,30,brickwall,0.1,1,False,14,False,-13,13
10,4,40,brickwall,0.1,1,False,11,False,-10,10
10,5,50,brickwall,0.1,1,False,8,False,-7,7
10,6,60,brickwall,0.1,1,False,3,False,-2,2
10,8,80,brickwall,0.1,1,False,2,False,-1,1
10,10,100,brickwall,0.1,1,False,2,False,-1,1
12,2,24,brickwall,0.1,1,False,15,False,-14,14
12,3,36,brickwall,0.1,1,False,12,False,-11,11
12,4,48,brickwall,0.1,1,False,9,False,-8,8
12,5,60,brickwall,0.1,1,False,4,False,-3,3
12,6,72,brickwall,0.1,1,False,4,False,-3,3
12,8,96,brickwall,0.1,1,False,2,False,-1,1
12,10,120,brickwall,0.1,1,False,2,False,-1,1
12,12,144,brickwall,0.1,1,False,2,False,-1,1
14,2,28,brickwall,0.1,1,False,13,False,-12,12
14,3,42,brickwall,0.1,1,False,10,False,-9,9
14,4,56,brickwall,0.1,1,False,7,False,-6,6
14,5,70,brickwall,0.1,1,False,4,False,-3,3
14,6,84,brickwall,0.1,1,False,2,False,-1,1
14,8,112,brickwall,0.1,1,False,2,False,-1,1
14,10,140,brickwall,0.1,1,False,2,False,-1,1
14,12,168,brickwall,0.1,1,False,1,False,0,0
14,14,196,brickwall,0.1,1,False,1,False,0,0
16,2,32,brickwall,0.1,1,False,12,False,-11,11
16,3,48,brickwall,0.1,1,False,10,False,-9,9
16,4,64,brickwall,0.1,1,False,7,False,-6,6
16,5,80,brickwall,0.1,1,False,2,False,-1,1
16,6,96,brickwall,0.1,1,False,2,False,-1,1
16,8,128,brickwall,0.1,1,False,2,False,-1,1
16,10,160,brickwall,0.1,1,False,2,False,-1,1
16,12,192,brickwall,0.1,1,False,1,False,0,0
16,14,224,brickwall,0.1,1,False,1,False,0,0
16,16,256,brickwall,0.1,1,False,1,False,0,0
8,2,16,brickwall,0.05,3,False,19,False,-16,16
8,3,24,brickwall,0.05,2,False,16,False,-14,14
8,4,32,brickwall,0.05,2,False,13,False,-11,11
8,5,40,brickwall,0.05,1,False,10,False,-9,9
8,6,48,brickwall,0.05,2,False,7,False,-5,5
8,8,64,brickwall,0.05,1,False,2,False,-1,1
10,2,20,brickwall,0.05,3,False,17,False,-14,14
10,3,30,brickwall,0.05,1,False,14,False,-13,13
10,4,40,brickwall,0.05,2,False,11,False,-9,9
10,5,50,brickwall,0.05,1,False,8,False,-7,7
10,6,60,brickwall,0.05,1,False,3,False,-2,2
