architecture,n,k,nk,depth,cone_size,cone_fraction,newly_reached,tau_BP
all_to_all,8,2,16,0,2,0.25,2,4
all_to_all,8,2,16,1,4,0.5,2,4
all_to_all,8,2,16,2,6,0.75,2,4
all_to_all,8,2,16,3,8,1.0,2,4
all_to_all,8,2,16,4,8,1.0,0,4
all_to_all,8,2,16,5,8,1.0,0,4
all_to_all,8,2,16,6,8,1.0,0,4
all_to_all,8,2,16,7,8,1.0,0,4
all_to_all,8,2,16,8,8,1.0,0,4
all_to_all,8,2,16,9,8,1.0,0,4
all_to_all,8,2,16,10,8,1.0,0,4
all_to_all,8,2,16,11,8,1.0,0,4
all_to_all,8,2,16,12,8,1.0,0,4
all_to_all,8,2,16,13,8,1.0,0,4
all_to_all,8,2,16,14,8,1.0,0,4
all_to_all,8,2,16,15,8,1.0,0,4
all_to_all,8,2,16,16,8,1.0,0,4
all_to_all,8,2,16,17,8,1.0,0,4
all_to_all,8,2,16,18,8,1.0,0,4
all_to_all,8,2,16,19,8,1.0,0,4
all_to_all,8,2,16,20,8,1.0,0,4
all_to_all,8,2,16,21,8,1.0,0,4
all_to_all,8,3,24,0,3,0.375,3,4
all_to_all,8,3,24,1,6,0.75,3,4
all_to_all,8,3,24,2,8,1.0,2,4
all_to_all,8,3,24,3,8,1.0,0,4
all_to_all,8,3,24,4,8,1.0,0,4
all_to_all,8,3,24,5,8,1.0,0,4
all_to_all,8,3,24,6,8,1.0,0,4
all_to_all,8,3,24,7,8,1.0,0,4
all_to_all,8,3,24,8,8,1.0,0,4
all_to_all,8,3,24,9,8,1.0,0,4
all_to_all,8,3,24,10,8,1.0,0,4
all_to_all,8,3,24,11,8,1.0,0,4
all_to_all,8,3,24,12,8,1.0,0,4
all_to_all,8,3,24,13,8,1.0,0,4
all_to_all,8,3,24,14,8,1.0,0,4
all_to_all,8,3,24,15,8,1.0,0,4
all_to_all,8,3,24,16,8,1.0,0,4
all_to_all,8,3,24,17,8,1.0,0,4
all_to_all,8,3,24,18,8,1.0,0,4
all_to_all,8,3,24,19,8,1.0,0,4
all_to_all,8,3,24,20,8,1.0,0,4
all_to_all,8,3,24,21,8,1.0,0,4
all_to_all,8,4,32,0,4,0.5,4,4
all_to_all,8,4,32,1,8,1.0,4,4
all_to_all,8,4,32,2,8,1.0,0,4
all_to_all,8,4,32,3,8,1.0,0,4
all_to_all,8,4,32,4,8,1.0,0,4
all_to_all,8,4,32,5,8,1.0,0,4
all_to_all,8,4,32,6,8,1.0,0,4
all_to_all,8,4,32,7,8,1.0,0,4
all_to_all,8,4,32,8,8,1.0,0,4
all_to_all,8,4,32,9,8,1.0,0,4
all_to_all,8,4,32,10,8,1.0,0,4
all_to_all,8,4,32,11,8,1.0,0,4
