architecture,n,k,cone_saturation_depth
all_to_all,8,2,3
all_to_all,8,3,2
all_to_all,8,4,1
all_to_all,8,5,1
all_to_all,8,6,1
all_to_all,8,8,0
all_to_all,10,2,4
all_to_all,10,3,4
all_to_all,10,4,4
all_to_all,10,5,3
all_to_all,10,6,2
all_to_all,10,8,1
all_to_all,10,10,0
all_to_all,12,2,5
all_to_all,12,3,5
all_to_all,12,4,4
all_to_all,12,5,3
all_to_all,12,6,2
all_to_all,12,8,1
all_to_all,12,10,1
all_to_all,12,12,0
all_to_all,14,2,5
all_to_all,14,3,4
all_to_all,14,4,3
all_to_all,14,5,2
all_to_all,14,6,2
all_to_all,14,8,2
all_to_all,14,10,2
all_to_all,14,12,1
all_to_all,14,14,0
brickwall_1d,8,2,7
brickwall_1d,8,3,5
brickwall_1d,8,4,5
brickwall_1d,8,5,3
brickwall_1d,8,6,3
brickwall_1d,8,8,0
brickwall_1d,10,2,9
brickwall_1d,10,3,7
brickwall_1d,10,4,7
brickwall_1d,10,5,5
brickwall_1d,10,6,5
brickwall_1d,10,8,3
brickwall_1d,10,10,0
brickwall_1d,12,2,11
brickwall_1d,12,3,9
brickwall_1d,12,4,9
brickwall_1d,12,5,7
brickwall_1d,12,6,7
brickwall_1d,12,8,5
brickwall_1d,12,10,3
brickwall_1d,12,12,0
brickwall_1d,14,2,13
brickwall_1d,14,3,11
brickwall_1d,14,4,11
brickwall_1d,14,5,9
brickwall_1d,14,6,9
brickwall_1d,14,8,7
brickwall_1d,14,10,5
brickwall_1d,14,12,3
brickwall_1d,14,14,0
grid_2d,8,2,3
grid_2d,8,3,3
grid_2d,8,4,2
grid_2d,8,5,2
grid_2d,8,6,2
grid_2d,8,8,0
grid_2d,10,2,5
grid_2d,10,3,5
grid_2d,10,4,2
grid_2d,10,5,2
grid_2d,10,6,2
grid_2d,10,8,2
grid_2d,10,10,0
grid_2d,12,2,7
grid_2d,12,3,7
grid_2d,12,4,7
grid_2d,12,5,5
grid_2d,12,6,5
grid_2d,12,8,3
grid_2d,12,10,3
grid_2d,12,12,0
grid_2d,14,2,8
grid_2d,14,3,8
grid_2d,14,4,5
grid_2d,14,5,5
grid_2d,14,6,2
grid_2d,14,8,2
grid_2d,14,10,2
grid_2d,14,12,2
grid_2d,14,14,0
