architecture,n,k,nk,tau_BP,cone_size_at_tau,cone_fraction_at_tau,cone_saturation_depth,tau_minus_saturation_depth
all_to_all,8,2,16,4,8,1.0,3,1
all_to_all,8,3,24,4,8,1.0,2,2
all_to_all,8,4,32,4,8,1.0,1,3
all_to_all,8,5,40,3,8,1.0,1,2
all_to_all,8,6,48,2,8,1.0,1,1
all_to_all,8,8,64,6,8,1.0,0,6
all_to_all,10,2,20,5,10,1.0,4,1
all_to_all,10,3,30,5,10,1.0,4,1
all_to_all,10,4,40,4,10,1.0,4,0
all_to_all,10,5,50,4,10,1.0,3,1
all_to_all,10,6,60,3,10,1.0,2,1
all_to_all,10,8,80,2,10,1.0,1,1
all_to_all,10,10,100,2,10,1.0,0,2
all_to_all,12,2,24,4,10,0.8333333333333334,5,-1
all_to_all,12,3,36,3,8,0.6666666666666666,5,-2
all_to_all,12,4,48,2,8,0.6666666666666666,4,-2
all_to_all,12,5,60,1,8,0.6666666666666666,3,-2
all_to_all,12,6,72,4,12,1.0,2,2
all_to_all,12,8,96,3,12,1.0,1,2
all_to_all,12,10,120,2,12,1.0,1,1
all_to_all,12,12,144,1,12,1.0,0,1
all_to_all,14,2,28,4,12,0.8571428571428571,5,-1
all_to_all,14,3,42,3,12,0.8571428571428571,4,-1
all_to_all,14,4,56,2,12,0.8571428571428571,3,-1
all_to_all,14,5,70,1,10,0.7142857142857143,2,-1
all_to_all,14,6,84,1,12,0.8571428571428571,2,-1
all_to_all,14,8,112,1,12,0.8571428571428571,2,-1
all_to_all,14,10,140,1,12,0.8571428571428571,2,-1
all_to_all,14,12,168,1,14,1.0,1,0
all_to_all,14,14,196,1,14,1.0,0,1
brickwall_1d,8,2,16,21,8,1.0,7,14
brickwall_1d,8,3,24,18,8,1.0,5,13
brickwall_1d,8,4,32,15,8,1.0,5,10
brickwall_1d,8,5,40,8,8,1.0,3,5
brickwall_1d,8,6,48,5,8,1.0,3,2
brickwall_1d,8,8,64,4,8,1.0,0,4
brickwall_1d,10,2,20,17,10,1.0,9,8
brickwall_1d,10,3,30,14,10,1.0,7,7
brickwall_1d,10,4,40,9,10,1.0,7,2
brickwall_1d,10,5,50,4,9,0.9,5,-1
brickwall_1d,10,6,60,5,10,1.0,5,0
brickwall_1d,10,8,80,2,9,0.9,3,-1
brickwall_1d,10,10,100,2,10,1.0,0,2
brickwall_1d,12,2,24,15,12,1.0,11,4
brickwall_1d,12,3,36,12,12,1.0,9,3
brickwall_1d,12,4,48,9,12,1.0,9,0
brickwall_1d,12,5,60,6,11,0.9166666666666666,7,-1
brickwall_1d,12,6,72,3,8,0.6666666666666666,7,-4
brickwall_1d,12,8,96,2,9,0.75,5,-3
brickwall_1d,12,10,120,2,11,0.9166666666666666,3,-1
brickwall_1d,12,12,144,1,12,1.0,0,1
brickwall_1d,14,2,28,13,14,1.0,13,0
brickwall_1d,14,3,42,10,13,0.9285714285714286,11,-1
brickwall_1d,14,4,56,7,10,0.7142857142857143,11,-4
brickwall_1d,14,5,70,4,9,0.6428571428571429,9,-5
brickwall_1d,14,6,84,3,8,0.5714285714285714,9,-6
brickwall_1d,14,8,112,2,9,0.6428571428571429,7,-5
brickwall_1d,14,10,140,2,11,0.7857142857142857,5,-3
brickwall_1d,14,12,168,1,12,0.8571428571428571,3,-2
brickwall_1d,14,14,196,1,14,1.0,0,1
grid_2d,8,2,16,10,8,1.0,3,7
grid_2d,8,3,24,8,8,1.0,3,5
grid_2d,8,4,32,6,8,1.0,2,4
grid_2d,8,5,40,6,8,1.0,2,4
grid_2d,8,6,48,6,8,1.0,2,4
grid_2d,8,8,64,5,8,1.0,0,5
grid_2d,10,2,20,9,10,1.0,5,4
grid_2d,10,3,30,6,10,1.0,5,1
grid_2d,10,4,40,4,10,1.0,2,2
grid_2d,10,5,50,4,10,1.0,2,2
grid_2d,10,6,60,3,10,1.0,2,1
grid_2d,10,8,80,2,10,1.0,2,0
grid_2d,10,10,100,2,10,1.0,0,2
grid_2d,12,2,24,7,12,1.0,7,0
grid_2d,12,3,36,7,12,1.0,7,0
grid_2d,12,4,48,4,8,0.6666666666666666,7,-3
grid_2d,12,5,60,3,9,0.75,5,-2
grid_2d,12,6,72,3,9,0.75,5,-2
grid_2d,12,8,96,3,12,1.0,3,0
grid_2d,12,10,120,2,11,0.9166666666666666,3,-1
grid_2d,12,12,144,2,12,1.0,0,2
grid_2d,14,2,28,7,12,0.8571428571428571,8,-1
grid_2d,14,3,42,5,10,0.7142857142857143,8,-3
grid_2d,14,4,56,4,12,0.8571428571428571,5,-1
grid_2d,14,5,70,3,12,0.8571428571428571,5,-2
grid_2d,14,6,84,3,14,1.0,2,1
grid_2d,14,8,112,2,14,1.0,2,0
grid_2d,14,10,140,1,13,0.9285714285714286,2,-1
grid_2d,14,12,168,1,13,0.9285714285714286,2,-1
grid_2d,14,14,196,1,14,1.0,0,1
