architecture,n,entropy_level,depth_to_level
brickwall_1d,8,0.5,12.0
brickwall_1d,8,0.75,27.0
brickwall_1d,8,0.9,
brickwall_1d,8,0.95,
brickwall_1d,10,0.5,15.0
brickwall_1d,10,0.75,30.0
brickwall_1d,10,0.9,
brickwall_1d,10,0.95,
brickwall_1d,12,0.5,18.0
brickwall_1d,12,0.75,
brickwall_1d,12,0.9,
brickwall_1d,12,0.95,
brickwall_1d,14,0.5,21.0
brickwall_1d,14,0.75,
brickwall_1d,14,0.9,
brickwall_1d,14,0.95,
grid_2d,8,0.5,5.0
grid_2d,8,0.75,11.0
grid_2d,8,0.9,
grid_2d,8,0.95,
grid_2d,10,0.5,5.0
grid_2d,10,0.75,10.0
grid_2d,10,0.9,
grid_2d,10,0.95,
grid_2d,12,0.5,7.0
grid_2d,12,0.75,12.0
grid_2d,12,0.9,
grid_2d,12,0.95,
grid_2d,14,0.5,5.0
grid_2d,14,0.75,9.0
grid_2d,14,0.9,
grid_2d,14,0.95,
all_to_all,8,0.5,4.0
all_to_all,8,0.75,7.0
all_to_all,8,0.9,
all_to_all,8,0.95,
all_to_all,10,0.5,4.0
all_to_all,10,0.75,6.0
all_to_all,10,0.9,
all_to_all,10,0.95,
all_to_all,12,0.5,5.0
all_to_all,12,0.75,6.0
all_to_all,12,0.9,
all_to_all,12,0.95,
all_to_all,14,0.5,5.0
all_to_all,14,0.75,7.0
all_to_all,14,0.9,
all_to_all,14,0.95,
