architecture,n,k,nk,tau_BP,censored,depth,mean_entropy,stderr_entropy,mean_normalized_entropy,stderr_normalized_entropy,entropy_fraction_of_max,entropy_saturation_level,entropy_saturation_depth,tau_minus_entropy_saturation
all_to_all,8,2,16,4,False,4,2.4491027446801583,0.05533124487538846,0.6122756861700396,0.013832811218847114,0.6122756861700396,0.95,,
all_to_all,8,3,24,4,False,4,2.4491027446801583,0.05533124487538846,0.6122756861700396,0.013832811218847114,0.6122756861700396,0.95,,
all_to_all,8,4,32,4,False,4,2.4491027446801583,0.05533124487538846,0.6122756861700396,0.013832811218847114,0.6122756861700396,0.95,,
all_to_all,8,5,40,3,False,3,1.481151111748421,0.0639422848924205,0.37028777793710527,0.015985571223105125,0.37028777793710527,0.95,,
all_to_all,8,6,48,2,False,2,0.6699847623324388,0.05461923277955094,0.1674961905831097,0.013654808194887735,0.1674961905831097,0.95,,
all_to_all,8,8,64,6,False,6,2.9344464154798993,0.042617346045112976,0.7336116038699748,0.010654336511278244,0.7336116038699748,0.95,,
all_to_all,10,2,20,5,False,5,3.508819105758521,0.05174808045207728,0.7017638211517042,0.010349616090415454,0.7017638211517042,0.95,,
all_to_all,10,3,30,5,False,5,3.508819105758521,0.05174808045207728,0.7017638211517042,0.010349616090415454,0.7017638211517042,0.95,,
all_to_all,10,4,40,4,False,4,2.6800086696067495,0.06671095909816721,0.5360017339213499,0.013342191819633442,0.5360017339213499,0.95,,
all_to_all,10,5,50,4,False,4,2.6800086696067495,0.06671095909816721,0.5360017339213499,0.013342191819633442,0.5360017339213499,0.95,,
all_to_all,10,6,60,3,False,3,1.5732969790524882,0.08515695400063113,0.31465939581049773,0.017031390800126223,0.31465939581049773,0.95,,
all_to_all,10,8,80,2,False,2,1.092740991788788,0.06655131088489635,0.21854819835775763,0.013310262176979271,0.21854819835775763,0.95,,
all_to_all,10,10,100,2,False,2,1.092740991788788,0.06655131088489635,0.21854819835775763,0.013310262176979271,0.21854819835775763,0.95,,
all_to_all,12,2,24,4,False,4,2.4916940412553186,0.07817283609916688,0.41528234020921984,0.013028806016527813,0.41528234020921984,0.95,,
all_to_all,12,3,36,3,False,3,1.4406374561582522,0.06649397424965507,0.24010624269304198,0.01108232904160918,0.24010624269304198,0.95,,
all_to_all,12,4,48,2,False,2,1.4539566344170316,0.07057224874165229,0.24232610573617192,0.011762041456942048,0.24232610573617192,0.95,,
all_to_all,12,5,60,1,False,1,1.2638491846063882,0.0813544526611849,0.21064153076773134,0.013559075443530815,0.21064153076773134,0.95,,
all_to_all,12,6,72,4,False,4,2.4916940412553186,0.07817283609916688,0.41528234020921984,0.013028806016527813,0.41528234020921984,0.95,,
all_to_all,12,8,96,3,False,3,1.4406374561582522,0.06649397424965507,0.24010624269304198,0.01108232904160918,0.24010624269304198,0.95,,
all_to_all,12,10,120,2,False,2,1.4539566344170316,0.07057224874165229,0.24232610573617192,0.011762041456942048,0.24232610573617192,0.95,,
all_to_all,12,12,144,1,False,1,1.2638491846063882,0.0813544526611849,0.21064153076773134,0.013559075443530815,0.21064153076773134,0.95,,
all_to_all,14,2,28,4,False,4,2.6089369427187443,0.07388346533363359,0.37270527753124916,0.010554780761947657,0.37270527753124916,0.95,,
all_to_all,14,3,42,3,False,3,2.0417167635582354,0.07090333111585759,0.2916738233654622,0.01012904730226537,0.2916738233654622,0.95,,
all_to_all,14,4,56,2,False,2,2.032899797817952,0.0872748704753743,0.29041425683113603,0.012467838639339184,0.29041425683113603,0.95,,
all_to_all,14,5,70,1,False,1,1.6160803350366522,0.09490460437250174,0.23086861929095037,0.013557800624643105,0.23086861929095037,0.95,,
all_to_all,14,6,84,1,False,1,1.6160803350366522,0.09490460437250174,0.23086861929095037,0.013557800624643105,0.23086861929095037,0.95,,
all_to_all,14,8,112,1,False,1,1.6160803350366522,0.09490460437250174,0.23086861929095037,0.013557800624643105,0.23086861929095037,0.95,,
all_to_all,14,10,140,1,False,1,1.6160803350366522,0.09490460437250174,0.23086861929095037,0.013557800624643105,0.23086861929095037,0.95,,
all_to_all,14,12,168,1,False,1,1.6160803350366522,0.09490460437250174,0.23086861929095037,0.013557800624643105,0.23086861929095037,0.95,,
all_to_all,14,14,196,1,False,1,1.6160803350366522,0.09490460437250174,0.23086861929095037,0.013557800624643105,0.23086861929095037,0.95,,
brickwall_1d,8,2,16,21,False,21,2.7452440436107177,0.026204647176636085,0.6863110109026794,0.006551161794159021,0.6863110109026794,0.95,,
brickwall_1d,8,3,24,18,False,18,2.533042912701959,0.03210144626117317,0.6332607281754897,0.008025361565293293,0.6332607281754897,0.95,,
brickwall_1d,8,4,32,15,False,15,2.2268223667922733,0.046396776597874896,0.5567055916980683,0.011599194149468724,0.5567055916980683,0.95,,
brickwall_1d,8,5,40,8,False,8,1.4734622818503136,0.04981435093959621,0.3683655704625784,0.012453587734899052,0.3683655704625784,0.95,,
brickwall_1d,8,6,48,5,False,5,0.8202021179038624,0.04961101960030448,0.2050505294759656,0.01240275490007612,0.2050505294759656,0.95,,
brickwall_1d,8,8,64,4,False,4,0.7967079024272614,0.04631724146877166,0.19917697560681535,0.011579310367192916,0.19917697560681535,0.95,,
brickwall_1d,10,2,20,17,False,17,2.7157020635500317,0.04479309268806703,0.5431404127100063,0.008958618537613405,0.5431404127100063,0.95,,
brickwall_1d,10,3,30,14,False,14,2.2646771096956417,0.048646639862288184,0.4529354219391284,0.009729327972457636,0.4529354219391284,0.95,,
brickwall_1d,10,4,40,9,False,9,1.588985190046278,0.05419129056202843,0.3177970380092555,0.010838258112405687,0.3177970380092555,0.95,,
brickwall_1d,10,5,50,4,False,4,0.5564887523023867,0.043595418151189655,0.11129775046047734,0.00871908363023793,0.11129775046047734,0.95,,
brickwall_1d,10,6,60,5,False,5,0.9617271814174986,0.03859266781049966,0.19234543628349968,0.007718533562099931,0.19234543628349968,0.95,,
brickwall_1d,10,8,80,2,False,2,0.3337173739598901,0.04266247365669116,0.06674347479197802,0.008532494731338233,0.06674347479197802,0.95,,
brickwall_1d,10,10,100,2,False,2,0.3337173739598901,0.04266247365669116,0.06674347479197802,0.008532494731338233,0.06674347479197802,0.95,,
brickwall_1d,12,2,24,15,False,15,2.492471653944965,0.044567171532469765,0.41541194232416084,0.007427861922078293,0.41541194232416084,0.95,,
brickwall_1d,12,3,36,12,False,12,2.140264457614365,0.04900783118791695,0.35671074293572747,0.008167971864652823,0.35671074293572747,0.95,,
brickwall_1d,12,4,48,9,False,9,1.4272212756324796,0.051427769883410065,0.23787021260541333,0.008571294980568344,0.23787021260541333,0.95,,
brickwall_1d,12,5,60,6,False,6,1.165607019787569,0.0435343181013647,0.19426783663126151,0.007255719683560781,0.19426783663126151,0.95,,
brickwall_1d,12,6,72,3,False,3,0.4059884706097152,0.04058860891545947,0.0676647451016192,0.006764768152576578,0.0676647451016192,0.95,,
brickwall_1d,12,8,96,2,False,2,0.5352338585736568,0.04022226060687449,0.08920564309560947,0.006703710101145749,0.08920564309560947,0.95,,
brickwall_1d,12,10,120,2,False,2,0.5352338585736568,0.04022226060687449,0.08920564309560947,0.006703710101145749,0.08920564309560947,0.95,,
brickwall_1d,12,12,144,1,False,1,3.254681327875952e-15,1.1195075621766409e-16,5.424468879793254e-16,1.865845936961068e-17,5.424468879793254e-16,0.95,,
brickwall_1d,14,2,28,13,False,13,2.3362698680317546,0.04946305606354285,0.3337528382902507,0.007066150866220407,0.3337528382902507,0.95,,
brickwall_1d,14,3,42,10,False,10,1.7283349772159866,0.05159302987998979,0.2469049967451409,0.007370432839998541,0.2469049967451409,0.95,,
brickwall_1d,14,4,56,7,False,7,1.286836628123097,0.045531974223344644,0.18383380401758528,0.006504567746192093,0.18383380401758528,0.95,,
brickwall_1d,14,5,70,4,False,4,0.5946607833838207,0.044510449873554146,0.08495154048340295,0.00635863569622202,0.08495154048340295,0.95,,
brickwall_1d,14,6,84,3,False,3,0.677050423551194,0.038904242586548336,0.09672148907874199,0.0055577489409354775,0.09672148907874199,0.95,,
brickwall_1d,14,8,112,2,False,2,0.31220827322623174,0.04102359069107477,0.04460118188946167,0.005860512955867825,0.04460118188946167,0.95,,
brickwall_1d,14,10,140,2,False,2,0.31220827322623174,0.04102359069107477,0.04460118188946167,0.005860512955867825,0.04460118188946167,0.95,,
brickwall_1d,14,12,168,1,False,1,0.32371954906232026,0.0437563935620528,0.046245649866045756,0.006250913366007543,0.046245649866045756,0.95,,
brickwall_1d,14,14,196,1,False,1,0.32371954906232026,0.0437563935620528,0.046245649866045756,0.006250913366007543,0.046245649866045756,0.95,,
grid_2d,8,2,16,10,False,10,2.8833520691277323,0.03744607500218931,0.7208380172819331,0.009361518750547327,0.7208380172819331,0.95,,
grid_2d,8,3,24,8,False,8,2.673197858372683,0.04311723509145679,0.6682994645931708,0.010779308772864198,0.6682994645931708,0.95,,
grid_2d,8,4,32,6,False,6,2.5879358353603292,0.05217859222901387,0.6469839588400823,0.013044648057253468,0.6469839588400823,0.95,,
grid_2d,8,5,40,6,False,6,2.5879358353603292,0.05217859222901387,0.6469839588400823,0.013044648057253468,0.6469839588400823,0.95,,
grid_2d,8,6,48,6,False,6,2.5879358353603292,0.05217859222901387,0.6469839588400823,0.013044648057253468,0.6469839588400823,0.95,,
grid_2d,8,8,64,5,False,5,2.2636443964128783,0.06157682842567025,0.5659110991032196,0.015394207106417562,0.5659110991032196,0.95,,
grid_2d,10,2,20,9,False,9,3.7129296192633894,0.03124445856590336,0.7425859238526776,0.006248891713180671,0.7425859238526776,0.95,,
